Basic_Density	Proline_Density	Net_Charge_Density	Rare_Codon_Density	Hydrophobicity	Poly_Basic	Poly_Pro	Poly_Gly	DiPeptide_Slow	Group
0.11077844311377245	0.059880239520958084	0.04491017964071856	0.011976047904191617	-0.10688622754491055	0	0	1	1	UFM1_dependent
0.08	0.05333333333333334	0.04	0.0	1.0866666666666664	0	0	0	0	UFM1_dependent
0.10601719197707736	0.09169054441260745	0.034383954154727794	0.014326647564469915	-0.2825214899713469	0	0	1	1	UFM1_dependent
0.07407407407407407	0.11375661375661375	0.026455026455026454	0.018518518518518517	0.08359788359788341	0	1	0	1	UFM1_dependent
0.12232415902140673	0.06116207951070336	0.07339449541284404	0.021406727828746176	-0.02629969418960245	0	0	0	1	UFM1_dependent
0.10714285714285714	0.16666666666666666	0.08333333333333333	0.011904761904761904	-0.39166666666666666	0	0	0	1	UFM1_dependent
0.07692307692307693	0.19230769230769232	0.038461538461538464	0.0	-0.7846153846153847	0	0	0	1	UFM1_dependent
0.0	0.2903225806451613	-0.03225806451612903	0.0	0.37419354838709673	0	1	0	1	UFM1_dependent
0.09369024856596558	0.04397705544933078	0.04397705544933078	0.011472275334608031	0.17284894837476086	0	0	0	1	UFM1_dependent
0.10526315789473684	0.09649122807017543	0.043859649122807015	0.017543859649122806	-0.18450292397660834	0	1	0	1	UFM1_dependent
0.053763440860215055	0.10752688172043011	-0.010752688172043012	0.0	0.04731182795698923	0	0	0	0	UFM1_dependent
0.0945054945054945	0.04835164835164835	0.03956043956043956	0.002197802197802198	0.24747252747252688	1	0	0	1	UFM1_dependent
0.19858156028368795	0.0425531914893617	0.15602836879432624	0.0	-0.5049645390070924	1	0	0	1	UFM1_dependent
0.1	0.08636363636363636	0.01818181818181818	0.022727272727272728	-0.35818181818181843	0	0	0	1	UFM1_dependent
0.1346153846153846	0.038461538461538464	0.057692307692307696	0.0	-0.08461538461538462	0	0	0	0	UFM1_dependent
