gene_id	gene_name	Col0_ANS_Cytosol_Rep1	Col0_ANS_Cytosol_Rep2	Col0_ANS_Cytosol_Rep3	Col0_ANS_Nuclear_Rep1	Col0_ANS_Nuclear_Rep2	Col0_ANS_Nuclear_Rep3	X.Col0_DMSO_Cytosol_Rep1	Col0_DMSO_Cytosol_Rep2	Col0_DMSO_Cytosol_Rep3	Col0_DMSO_Nuclear_Rep1	Col0_DMSO_Nuclear_Rep2	Col0_DMSO_Nuclear_Rep3	Col0_DMSO_Rep1	Col0_DMSO_Rep2	Col0_DMSO_Rep3	Col0_for_siRNA_Rep1	Col0_for_siRNA_Rep2	Col0_TUN_Rep1	Col0_TUN_Rep2	Col0_TUN_Rep3	ski2_DMSO_Rep1	ski2_DMSO_Rep2	ski2_DMSO_Rep3	ski2_TUN_Rep1	ski2_TUN_Rep2	ski2_TUN_Rep3	ufm1_ANS_Cytosol_Rep1	ufm1_ANS_Cytosol_Rep2	ufm1_ANS_Cytosol_Rep3	ufm1_ANS_Nuclear_Rep1	ufm1_ANS_Nuclear_Rep2	ufm1_ANS_Nuclear_Rep3	ufm1_DMSO_Cytosol_Rep1	ufm1_DMSO_Cytosol_Rep2	ufm1_DMSO_Cytosol_Rep3	ufm1_DMSO_Nuclear_Rep1	ufm1_DMSO_Nuclear_Rep2	ufm1_DMSO_Nuclear_Rep3	UFM1_for_siRNA_Rep1	UFM1_for_siRNA_Rep2	UFM1.His_for_siRNA_Rep1	UFM1.His_for_siRNA_Rep2	xrn4_DMSO_Rep1	xrn4_DMSO_Rep2	xrn4_DMSO_Rep3	xrn4_TUN_Rep1	xrn4_TUN_Rep2	xrn4_TUN_Rep3
AT2G29820	AT2G29820	0	0	0	0	0.080803	0	0	0	0	0	0	0	0	0	0.901095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104596	0	0	0	0.215802	0	0	0	0	0	0	0	0	0	0.069021	0	0	0
AT2G29830	AT2G29830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.160633	0	0	0	0	0	0	0	0.066372	0	0
AT2G29840	AT2G29840	0	0	0	0	0	0	0	0	0	0	0	0	0	0.926903	0	0	0	0	0	0	0	0.105351	0	0	0	0	0	0	0	0	0	0	0.092902	0	0	0	0	0	0	0	0	0	0	0	1.591585	0	0	0
AT2G29850	AT2G29850	0	0	0	0	0	0	0	0	0.831381	0	0	0	0	0	0	0	0	0	0	0	0.275267	0	0	0	0	0	0	0.109525	0	0	0	0	0	0	0.105658	0	0	0	0	0	0	0	0	0	0	0	0.3268	0
AT2G29860	AT2G29860	0	0	0.099852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.110101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.627696	0
AT2G29870	AT2G29870	0	0	0	0	0	0	0	0	0	0.214329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.769354	0.243825	0.1974	0	0	0	0	0	0	0	0	1.58318	0
AT2G29880	AT2G29880	0	0	0	0	0	0	0	0	0	0.187761	0	0	0	0	0	0	0	0	0	0	0	0	0	0.060061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124541	0	0	0	0	0
AT2G29890	VLN1	0.701959	1.560065	0.585977	1.639496	2.144606	2.489124	0.974925	0.684514	0.685254	3.500022	2.528484	5.39785	1.643795	2.241621	0.900656	9.673893	10.773464	1.844296	11.134954	2.260688	5.85238	7.354219	5.669171	2.332165	3.658803	2.821305	0.869685	0.155857	0.131155	5.115141	6.190635	8.492602	0	1.179411	0.804892	12.494578	8.121532	7.500789	7.888523	7.391804	6.994767	6.317545	2.94325	4.359827	1.993383	1.683785	3.229522	2.607393
AT2G29900	PS2	6.939281	8.247718	8.024872	8.664488	8.374111	9.793516	6.394428	6.640098	5.261953	11.029198	8.802217	6.324759	5.954266	4.480627	7.308167	9.367754	7.991927	16.806399	18.657093	16.985778	9.920187	11.338175	10.847267	10.387285	12.686873	16.373764	0.856115	3.293557	3.796462	5.708399	7.447989	5.413399	3.497065	7.043608	4.168553	4.727397	7.60081	9.51934	9.376587	5.236513	6.606705	7.634501	12.207998	13.950981	11.993087	9.0366	5.714368	8.257222
AT2G29910	AT2G29910	8.172815	5.433686	4.024987	4.837488	5.66799	7.353294	1.616502	3.133241	4.594732	5.228842	7.02266	9.495243	9.287656	7.152067	4.646818	8.486535	5.199267	11.313515	0.087653	11.261351	5.977359	5.621884	7.631982	5.355029	7.421785	11.066982	8.899454	2.640449	4.689797	7.817994	8.199859	7.669239	3.288329	2.050179	1.872375	7.291691	10.529792	6.851109	6.184343	2.733812	3.107523	4.174414	8.485609	5.697289	7.321536	13.365296	10.524714	10.078904
