GeneId	Cluster
AT5G46630	ufm1_only_Down
AT5G48630	ufm1_only_Down
AT5G48640	ufm1_only_Down
AT5G49580	ufm1_only_Down
AT5G50810	ufm1_only_Down
AT5G51130	ufm1_only_Down
AT5G51740	ufm1_only_Down
AT5G52060	ufm1_only_Down
AT5G53310	ufm1_only_Down
AT5G58230	ufm1_only_Down
AT5G61970	ufm1_only_Down
AT5G63120	ufm1_only_Down
AT5G63420	ufm1_only_Down
AT5G64600	ufm1_only_Down
AT5G66950	ufm1_only_Down
AT5G67580	ufm1_only_Down
AT1G01910	ufm1_only_Up
AT1G03130	ufm1_only_Up
AT1G03475	ufm1_only_Up
AT1G05310	ufm1_only_Up
AT1G05350	ufm1_only_Up
AT1G05520	ufm1_only_Up
AT1G06950	ufm1_only_Up
AT1G07750	ufm1_only_Up
AT1G08200	ufm1_only_Up
AT1G08210	ufm1_only_Up
AT1G08620	ufm1_only_Up
AT1G09130	ufm1_only_Up
AT1G11720	ufm1_only_Up
AT1G12900	ufm1_only_Up
AT1G15210	ufm1_only_Up
AT1G15370	ufm1_only_Up
AT1G15820	ufm1_only_Up
AT1G16560	ufm1_only_Up
AT1G16890	ufm1_only_Up
