gene_id	gene_name	AAVS1_CYTO_DMSO_ANS_rep1	AAVS1_CYTO_DMSO_CTRL_rep1	AAVS1_CYTO_DOX_ANS_rep1	AAVS1_CYTO_DOX_CTRL_rep1	AAVS1_NUCL_DMSO_ANS_rep1	AAVS1_NUCL_DMSO_CTRL_rep1	AAVS1_NUCL_DOX_ANS_rep1	AAVS1_NUCL_DOX_CTRL_rep1	UFM1_CYTO_DMSO_ANS_rep1	UFM1_CYTO_DMSO_CTRL_rep1	UFM1_CYTO_DOX_ANS_rep1	UFM1_CYTO_DOX_CTRL_rep1	UFM1_NUCL_DMSO_ANS_rep1	UFM1_NUCL_DMSO_CTRL_rep1	UFM1_NUCL_DOX_ANS_rep1	UFM1_NUCL_DOX_CTRL_rep1	UFM2_CYTO_DMSO_ANS_rep2	UFM2_CYTO_DMSO_CTRL_rep2	UFM2_CYTO_DOX_ANS_rep2	UFM2_CYTO_DOX_CTRL_rep2	UFM2_NUCL_DMSO_ANS_rep2	UFM2_NUCL_DMSO_CTRL_rep2	UFM2_NUCL_DOX_ANS_rep2	UFM2_NUCL_DOX_CTRL_rep2	UFM3_CYTO_DMSO_ANS_rep3	UFM3_CYTO_DMSO_CTRL_rep3	UFM3_CYTO_DOX_ANS_rep3	UFM3_CYTO_DOX_CTRL_rep3	UFM3_NUCL_DMSO_ANS_rep3	UFM3_NUCL_DMSO_CTRL_rep3	UFM3_NUCL_DOX_ANS_rep3	UFM3_NUCL_DOX_CTRL_rep3	SE_AAVS1_NUCL_DMSO_ANS_rep1	SE_AAVS1_NUCL_DMSO_CTRL_rep1	SE_AAVS1_NUCL_DMSO_CTRL_rep2	SE_AAVS1_NUCL_DMSO_CTRL_rep3	SE_AAVS1_NUCL_DOX_ANS_rep1	SE_AAVS1_NUCL_DOX_CTRL_rep1	SE_AAVS1_NUCL_DOX_CTRL_rep2	SE_AAVS1_NUCL_DOX_CTRL_rep3
ENSG00000176058.13	TPRN	24.3216	19.488399	24.215143	16.809597	122.77018	90.69316	122.707614	89.086035999999993	25.625035	21.916594	25.618767	17.621073	103.440003	81.945676	123.541113	87.298042	21.598999	17.811781	21.625352	17.926272	96.159886	73.740216	95.332189	77.942635	21.634762	19.327753	22.406965	19.955866	101.166055	71.815711	114.540659	70.286669	111.34139	81.045253	66.946335	60.989051	110.958695	77.838496	54.748058	58.563426
ENSG00000176076.7	KCNE5	0.156253	0.208115	0.555289	0.624779	4.562894	1.131277	1.974636	0.792177	0.670095	0.144813	0.243094	0.526122	0.543091	2.037842	1.635959	0.867574	0.562804	0.235443	0.100135	0.410641	2.556249	2.335941	0.856894	1.815776	0.270146	0.067878	0	0.256935	0.739062	1.739445	1.243625	0.765529	4.048286	1.127386	1.711949	1.476303	1.745554	0.873494	1.023425	0.971771
ENSG00000176083.18	ZNF683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176092.17	CRYBG2	0	0	0	0.434049	0	0	0	0	0	0	0	0	1.565336	2.054823	0	0	0	0	0	0	0	0	0	0	0	0.110515	0	0.019081	0.31907	0.412019	0	0	0	0	0.869122	0	0	0	0	0
ENSG00000176095.12	IP6K1	14.672339	12.268627	17.283394	11.997661	18.179717	22.404939	15.645041	17.182397	14.053607	14.074448	14.228171	12.54061	14.813747	29.849361	22.588226	14.574947	13.003427	11.323425	12.462957	12.424949	20.109906	20.37741	14.870645	11.57119	12.648919	12.06395	13.126625	11.825722	13.872581	18.627962	14.161864	16.927429	28.909855	30.788478	75.762123	74.122828	17.980229	21.853425	81.702725	83.942461
ENSG00000176101.12	SSNA1	138.632185	148.994375	156.25174	165.201581	39.631447	40.382461	28.822685	31.101518	143.463582	138.328332	145.684662	148.871033	28.715043	31.559675	24.185505	44.956638	139.080014	139.797835	139.544163	127.994733	25.907374	44.750205	32.590409	40.375553	145.400446	150.194178	145.072077	139.426191	27.896197	48.202704	34.436148	46.123662	33.869486	39.572459	47.972405	52.464531	28.789333	37.309759	42.953809	41.120344
ENSG00000176102.13	CSTF3	74.886528	73.03207	82.450145	77.283579	180.373988	188.450778	160.230001	197.282289	84.344324	62.99211	74.331543	68.206726	235.299675	231.194027	196.275191	171.69222	89.490631	75.808078	78.933218	62.416873	189.991737	170.002317	212.924472	159.197646	81.509854	75.825354	74.677807	71.473921	231.3009	237.708799	227.679166	203.337082	164.857779	151.341489	100.529871	112.520671	146.485763	156.23516	113.591783	102.698587
ENSG00000176105.14	YES1	46.353116	57.96424	41.402907	56.639918	23.6242	25.833841	21.691932	21.34076	55.615407	61.121596	54.39974	54.677044	28.831549	27.12258	26.4757	25.055059	52.893251	49.911013	46.514134	48.265861	23.239081	20.490356	22.875208	25.579634	54.073525	51.089224	48.971354	47.739421	29.519733	30.099778	26.40194	26.11401	22.556068	22.794744	21.422679	23.186606	20.588322	28.238544	20.515035	24.495817
ENSG00000176108.9	CHMP6	21.017879	15.231804	21.455109	16.077169	16.186965	22.556016	20.872968	23.403726	18.630552	17.798583	16.111201	15.989489	16.625252	20.564894	12.950757	27.602917	21.761333	17.663455	19.1352	16.603509	18.807143	11.248841	20.047223	19.085768	22.158651	18.052808	19.765749	16.598635	14.978849	14.842827	21.971642	15.682267	21.014898	25.869379	27.904826	23.395317	23.251157	25.583622	23.80269	23.785945
ENSG00000176125.7	UFSP1	4.427665	1.871975	3.141301	2.816331	2.181246	2.003969	2.664622	2.038679	3.976876	3.422134	5.90155	2.107912	2.464428	0.301348	3.253036	2.826366	3.331487	1.63137	5.328646	2.536211	3.483208	0	2.621269	0.988713	2.690373	2.142644	5.9827	3.262428	3.516935	2.860854	4.976843	3.138095	1.945086	1.718533	2.043894	2.002034	2.359841	1.752589	3.261305	2.492609
