Accession_clean	logFC_col	P_col	logFC_ufm1	P_ufm1	Col0_state	ufm1_state	Dep_Accumulation	Dep_Depletion	external_name	description
AT3G10920	0.27976632208356733	0.05187437357366192	0.3161471692217823	0.03353121049120718	NS	Up	TRUE	FALSE	ATMSD1	manganese superoxide dismutase (MSD1)
AT3G10920	0.27976632208356733	0.05187437357366192	0.3161471692217823	0.03353121049120718	NS	Up	TRUE	FALSE	AtSOD1	manganese superoxide dismutase (MSD1)
AT3G10920	0.27976632208356733	0.05187437357366192	0.3161471692217823	0.03353121049120718	NS	Up	TRUE	FALSE	MEE33	manganese superoxide dismutase (MSD1)
AT3G10920	0.27976632208356733	0.05187437357366192	0.3161471692217823	0.03353121049120718	NS	Up	TRUE	FALSE	MSD1	manganese superoxide dismutase (MSD1)
AT3G49180	-0.2500280336250249	0.05195576568966295	-0.17116144768588626	0.15162969956365013	NS	NS	FALSE	FALSE	RID3	NA
AT3G19740	-0.27463733917892696	0.05197537247028938	0.1688489330330185	0.1913143044989496	NS	NS	FALSE	FALSE	NA	NA
AT2G25560	-0.24352269572723984	0.05198189063741888	-0.2707066394957174	0.03573050782173507	NS	Down	FALSE	TRUE	NA	NA
AT5G19370	-0.28820679662890925	0.05203266116202072	0.4324379884213556	0.01032540503225663	NS	Up	TRUE	FALSE	NA	NA
AT5G62390	-0.14308130486617543	0.05206384950016089	-0.23322556606395395	0.00701649185299038	NS	Down	FALSE	TRUE	ATBAG7	A member of Arabidopsis BAG (Bcl-2-associated athanogene) proteins, plant homologs of mammalian regulators of apoptosis. Plant BAG proteins are multi-functional and remarkably similar to their animal counterparts, as they regulate apoptotic-like processes ranging from pathogen attack, to abiotic stress, to plant development. Localized to the ER. Necessary for the proper maintenance of the unfolded protein response during heat and cold tolerance.
AT5G62390	-0.14308130486617543	0.05206384950016089	-0.23322556606395395	0.00701649185299038	NS	Down	FALSE	TRUE	BAG7	A member of Arabidopsis BAG (Bcl-2-associated athanogene) proteins, plant homologs of mammalian regulators of apoptosis. Plant BAG proteins are multi-functional and remarkably similar to their animal counterparts, as they regulate apoptotic-like processes ranging from pathogen attack, to abiotic stress, to plant development. Localized to the ER. Necessary for the proper maintenance of the unfolded protein response during heat and cold tolerance.
AT2G16440	-0.35578192670856623	0.05220832756272678	0.19357228844260632	0.2414950744108883	NS	NS	FALSE	FALSE	MCM4	NA
AT2G18410	0.15944946054554876	0.05223663357356577	0.09537289471839829	0.20268911964497233	NS	NS	FALSE	FALSE	ELP5	NA
AT4G37100	-0.15951769647951153	0.05224851626741413	-0.18728987184916335	0.02922165441306418	NS	Down	FALSE	TRUE	NA	NA
AT3G59660	0.687109648230642	0.05234972928454502	-0.03363068453858986	0.9113424353795246	NS	NS	FALSE	FALSE	BAGP1	NA
AT1G77490	-0.2993955259574861	0.05239578600859509	-0.03836527955503044	0.7713679402623319	NS	NS	FALSE	FALSE	TAPX	Encodes a chloroplastic thylakoid ascorbate peroxidase tAPX.  Ascorbate peroxidases are enzymes that scavenge hydrogen peroxide in plant cells.  Eight types of APX have been described for Arabidopsis: three cytosolic (APX1, APX2, APX6), two chloroplastic types (stromal sAPX, thylakoid tAPX), and three microsomal (APX3, APX4, APX5) isoforms.
AT3G53650	0.5468100633744264	0.05254207841359781	2.1998348991303378e-6	0.9999927020263516	NS	NS	FALSE	FALSE	HTB6	NA
AT3G01390	0.13359576058194733	0.05256075977778947	0.11094929177824396	0.0933827825574856	NS	NS	FALSE	FALSE	AVMA10	Subunit G of the vacuolar membrane ATPAse complex
AT3G01390	0.13359576058194733	0.05256075977778947	0.11094929177824396	0.0933827825574856	NS	NS	FALSE	FALSE	VMA10	Subunit G of the vacuolar membrane ATPAse complex
AT4G38020	0.3466922355032409	0.05259981079136559	-0.120916265033312	0.4391758097956241	NS	NS	FALSE	FALSE	NA	NA
AT5G63670	-0.2831634553821658	0.05269535487378504	-0.36738679417041453	0.01978288516620292	NS	Down	FALSE	TRUE	SPT4-2	NA
AT5G63670	-0.2831634553821658	0.05269535487378504	-0.36738679417041453	0.01978288516620292	NS	Down	FALSE	TRUE	SPT42	NA
AT1G76810	0.629938826188571	0.05269562677727091	-0.5356569792711383	0.0874869410272522	NS	NS	FALSE	FALSE	eIF5B1	NA
AT1G76810	0.629938826188571	0.05269562677727091	-0.5356569792711383	0.0874869410272522	NS	NS	FALSE	FALSE	HOT3	NA
AT3G05090	-0.21988111695910817	0.05274475885074661	-0.03077838355045159	0.7515496397301061	NS	NS	FALSE	FALSE	LRS1	Encodes a DCAF protein.  Mutants are defective in lateral root development and suggest roles for DDB1Cul4mediated protein degradation in regulating auxin accumulation during lateral root primordium development and lateral root meristem emergence.
AT4G28820	-0.1744069717302743	0.05279574901495186	-0.2271390365416757	0.01952044292385788	NS	Down	FALSE	TRUE	NA	NA
AT1G52050	0.14020561366900708	0.05281980372047423	-0.11717054343787936	0.0921222827158527	NS	NS	FALSE	FALSE	JAL8	NA
AT5G10770	0.26655860763751704	0.05287062997779541	-0.0509937485842471	0.6665541799523521	NS	NS	FALSE	FALSE	NA	NA
AT3G19080	-0.19135600519621931	0.05293219119053265	0.03729248517396044	0.6608965745693924	NS	NS	FALSE	FALSE	NA	NA
AT1G73960	-0.3629524242654867	0.05295105566603587	-0.08897826655519125	0.5827913585410834	NS	NS	FALSE	FALSE	TAF2	NA
AT1G30120	-0.15733200659189706	0.05302025366275745	-0.11471061278216864	0.13245050927925778	NS	NS	FALSE	FALSE	PDH-E1	Encodes a putative plastid pyruvate dehydrogenase E1 beta subunit that is distinct from the mitochondrial pyruvate dehydrogenase E1 beta subunit.
AT5G13570	0.13339429347088938	0.05311010201599632	-0.1060615475547806	0.10617577152895698	NS	NS	FALSE	FALSE	ATDCP2	Encodes DCP2 with mRNA decapping activity.  DCP2 forms a mRNA decapping complex with DCP1 (At1g08370) and VCS (VARICOSE) (At3g13300). Recombinant DCP2 is enzymatically active in vitro, generating from capped mRNAs m7GDP, and 5-phosphorylated mRNAs.  DCP1, DCP2 and VCS colocalize in cytoplasmic loci, which are putative Arabidopsis mRNA processing bodies.  Null mutants of DCP1, DCP2, and VCS accumulate capped mRNAs with a reduced degradation rate. These mutants also share a similar lethal phenotype at the seedling cotyledon stage, with disorganized veins, swollen root hairs, and altered epidermal cell morphology. The protein was shown by immunoprecipitation not to interact with DCP1.
AT5G13570	0.13339429347088938	0.05311010201599632	-0.1060615475547806	0.10617577152895698	NS	NS	FALSE	FALSE	DCP2	Encodes DCP2 with mRNA decapping activity.  DCP2 forms a mRNA decapping complex with DCP1 (At1g08370) and VCS (VARICOSE) (At3g13300). Recombinant DCP2 is enzymatically active in vitro, generating from capped mRNAs m7GDP, and 5-phosphorylated mRNAs.  DCP1, DCP2 and VCS colocalize in cytoplasmic loci, which are putative Arabidopsis mRNA processing bodies.  Null mutants of DCP1, DCP2, and VCS accumulate capped mRNAs with a reduced degradation rate. These mutants also share a similar lethal phenotype at the seedling cotyledon stage, with disorganized veins, swollen root hairs, and altered epidermal cell morphology. The protein was shown by immunoprecipitation not to interact with DCP1.
AT5G13570	0.13339429347088938	0.05311010201599632	-0.1060615475547806	0.10617577152895698	NS	NS	FALSE	FALSE	ITS1	Encodes DCP2 with mRNA decapping activity.  DCP2 forms a mRNA decapping complex with DCP1 (At1g08370) and VCS (VARICOSE) (At3g13300). Recombinant DCP2 is enzymatically active in vitro, generating from capped mRNAs m7GDP, and 5-phosphorylated mRNAs.  DCP1, DCP2 and VCS colocalize in cytoplasmic loci, which are putative Arabidopsis mRNA processing bodies.  Null mutants of DCP1, DCP2, and VCS accumulate capped mRNAs with a reduced degradation rate. These mutants also share a similar lethal phenotype at the seedling cotyledon stage, with disorganized veins, swollen root hairs, and altered epidermal cell morphology. The protein was shown by immunoprecipitation not to interact with DCP1.
AT5G13570	0.13339429347088938	0.05311010201599632	-0.1060615475547806	0.10617577152895698	NS	NS	FALSE	FALSE	TDT	Encodes DCP2 with mRNA decapping activity.  DCP2 forms a mRNA decapping complex with DCP1 (At1g08370) and VCS (VARICOSE) (At3g13300). Recombinant DCP2 is enzymatically active in vitro, generating from capped mRNAs m7GDP, and 5-phosphorylated mRNAs.  DCP1, DCP2 and VCS colocalize in cytoplasmic loci, which are putative Arabidopsis mRNA processing bodies.  Null mutants of DCP1, DCP2, and VCS accumulate capped mRNAs with a reduced degradation rate. These mutants also share a similar lethal phenotype at the seedling cotyledon stage, with disorganized veins, swollen root hairs, and altered epidermal cell morphology. The protein was shown by immunoprecipitation not to interact with DCP1.
AT5G65720	0.1584402685828863	0.05311525328986392	0.07220434964053979	0.3212169843351352	NS	NS	FALSE	FALSE	ATNFS1	cysteine desulfurase whose activity is dependent on AtSufE activation.
AT5G65720	0.1584402685828863	0.05311525328986392	0.07220434964053979	0.3212169843351352	NS	NS	FALSE	FALSE	ATNIFS1	cysteine desulfurase whose activity is dependent on AtSufE activation.
AT5G65720	0.1584402685828863	0.05311525328986392	0.07220434964053979	0.3212169843351352	NS	NS	FALSE	FALSE	NFS1	cysteine desulfurase whose activity is dependent on AtSufE activation.
AT5G65720	0.1584402685828863	0.05311525328986392	0.07220434964053979	0.3212169843351352	NS	NS	FALSE	FALSE	NIFS1	cysteine desulfurase whose activity is dependent on AtSufE activation.
AT5G24070	0.20635214966107895	0.05312603088038569	0.10498364669458836	0.27252914729793415	NS	NS	FALSE	FALSE	NA	NA
AT1G79730	-0.3225434719781042	0.05317091041680689	0.00475026451497129	0.9733839432583284	NS	NS	FALSE	FALSE	DDRM4	Encodes a PAF1 homolog that is involved in the control of flowering time by elevating FLC expression to a level that creates the vernalization-responsive, winter-annual habit.  Yeast PAF1 is a component of a five-member complex that associates with RNA pol II and is thought to regulate gene expression by recruiting SET1 (a histone 3 Lys 4 [H3-K4] methyl transferase) to the initially transcribed [5'] regions of target chromatin.  Mutants display reduced H3-K4 methylation in both FLC and FLM chromatin.
AT1G79730	-0.3225434719781042	0.05317091041680689	0.00475026451497129	0.9733839432583284	NS	NS	FALSE	FALSE	ELF7	Encodes a PAF1 homolog that is involved in the control of flowering time by elevating FLC expression to a level that creates the vernalization-responsive, winter-annual habit.  Yeast PAF1 is a component of a five-member complex that associates with RNA pol II and is thought to regulate gene expression by recruiting SET1 (a histone 3 Lys 4 [H3-K4] methyl transferase) to the initially transcribed [5'] regions of target chromatin.  Mutants display reduced H3-K4 methylation in both FLC and FLM chromatin.
AT1G79730	-0.3225434719781042	0.05317091041680689	0.00475026451497129	0.9733839432583284	NS	NS	FALSE	FALSE	PAF1	Encodes a PAF1 homolog that is involved in the control of flowering time by elevating FLC expression to a level that creates the vernalization-responsive, winter-annual habit.  Yeast PAF1 is a component of a five-member complex that associates with RNA pol II and is thought to regulate gene expression by recruiting SET1 (a histone 3 Lys 4 [H3-K4] methyl transferase) to the initially transcribed [5'] regions of target chromatin.  Mutants display reduced H3-K4 methylation in both FLC and FLM chromatin.
AT1G79440	0.1139746843349343	0.05328287613222777	0.1272805241945285	0.0360945640685361	NS	Up	TRUE	FALSE	ALDH5F1	Encodes a mitochondrial succinic semialdehyde dehydrogenase (SSADH).  Nomenclature according to Kirch, et al (2004).
AT1G79440	0.1139746843349343	0.05328287613222777	0.1272805241945285	0.0360945640685361	NS	Up	TRUE	FALSE	ENF1	Encodes a mitochondrial succinic semialdehyde dehydrogenase (SSADH).  Nomenclature according to Kirch, et al (2004).
AT1G79440	0.1139746843349343	0.05328287613222777	0.1272805241945285	0.0360945640685361	NS	Up	TRUE	FALSE	SSADH	Encodes a mitochondrial succinic semialdehyde dehydrogenase (SSADH).  Nomenclature according to Kirch, et al (2004).
AT1G79440	0.1139746843349343	0.05328287613222777	0.1272805241945285	0.0360945640685361	NS	Up	TRUE	FALSE	SSADH1	Encodes a mitochondrial succinic semialdehyde dehydrogenase (SSADH).  Nomenclature according to Kirch, et al (2004).
AT2G05620	-0.6265167400420673	0.05328440179121727	-0.3895742498078967	0.18978507728047544	NS	NS	FALSE	FALSE	AtPGR5	Involved in electron flow in Photosystem I. Essential for photoprotection.
AT2G05620	-0.6265167400420673	0.05328440179121727	-0.3895742498078967	0.18978507728047544	NS	NS	FALSE	FALSE	PGR5	Involved in electron flow in Photosystem I. Essential for photoprotection.
AT5G38880	-0.2451197673363481	0.05343791044028886	0.10214001685397632	0.36220895784556256	NS	NS	FALSE	FALSE	AUG5	NA
AT5G38720	-0.4099156673509547	0.05353502899524075	0.04893725160135176	0.7878294268955705	NS	NS	FALSE	FALSE	RRP7	NA
AT5G57290	0.2356440808123388	0.05375846875096471	0.2599918966270174	0.03810164947919654	NS	Up	TRUE	FALSE	AtP3B	NA
AT5G57290	0.2356440808123388	0.05375846875096471	0.2599918966270174	0.03810164947919654	NS	Up	TRUE	FALSE	P3B	NA
AT5G57290	0.2356440808123388	0.05375846875096471	0.2599918966270174	0.03810164947919654	NS	Up	TRUE	FALSE	P3y	NA
AT3G26720	0.15337552713678448	0.05385915133821345	0.02978414859344269	0.6636227278354734	NS	NS	FALSE	FALSE	NA	NA
AT5G07830	0.1869402733158481	0.05399307002568537	0.00455618189154449	0.9561717008982992	NS	NS	FALSE	FALSE	AtGUS2	Belongs to the plant glycoside hydrolase family 79. Encodes a protein with several posttranslational modification sites including O-&#946;-GlcNAc attachment sites and serine-, threonine- and  tyrosine-phosphorylation sites, suggesting that this protein is extensively modified posttranslationally. The protein is predicted  (WoLF PSORT program) to be membrane-associated.
AT5G07830	0.1869402733158481	0.05399307002568537	0.00455618189154449	0.9561717008982992	NS	NS	FALSE	FALSE	GUS2	Belongs to the plant glycoside hydrolase family 79. Encodes a protein with several posttranslational modification sites including O-&#946;-GlcNAc attachment sites and serine-, threonine- and  tyrosine-phosphorylation sites, suggesting that this protein is extensively modified posttranslationally. The protein is predicted  (WoLF PSORT program) to be membrane-associated.
AT2G26590	-0.29301928786383513	0.05415287151472332	0.02250884635302341	0.8627484712756962	NS	NS	FALSE	FALSE	RPN13	NA
AT3G22845	0.15435909377638524	0.05426966468134642	0.08914574901394445	0.22144822233962927	NS	NS	FALSE	FALSE	NA	NA
AT4G29010	0.15350882141534683	0.05432285928370231	-0.05474964580713504	0.4336041043509118	NS	NS	FALSE	FALSE	AIM1	Functions in beta-oxidation of fatty acids, similar to CuMFP with L-3-hydroxyacyl-CoA hydrolyase , L-3-hydroxyacyl-dehydrogenase, D-3-hydroxyacyl-CoA epimerase, and 3, 2-enoyl-CoA isomerase activities
AT1G65580	0.26768694601394216	0.05452521526499215	0.03730291896022564	0.7549527218943494	NS	NS	FALSE	FALSE	FRA3	NA
AT5G59180	-0.2717980614520741	0.0545276036412004	-0.13975578307780623	0.27128964323217275	NS	NS	FALSE	FALSE	NRPB7	Non-catalytic subunit specific to DNA-directed RNA polymerase II; the ortholog of budding yeast RPB7
AT3G21175	-0.8954917116276775	0.05453269085555896	-0.7485055960142049	0.09457911659319262	NS	NS	FALSE	FALSE	GATA24	member of a novel family of plant-specific GATA-type transcription factors.
AT3G21175	-0.8954917116276775	0.05453269085555896	-0.7485055960142049	0.09457911659319262	NS	NS	FALSE	FALSE	TIFY2B	member of a novel family of plant-specific GATA-type transcription factors.
AT3G21175	-0.8954917116276775	0.05453269085555896	-0.7485055960142049	0.09457911659319262	NS	NS	FALSE	FALSE	ZML1	member of a novel family of plant-specific GATA-type transcription factors.
AT1G59870	-0.1315674487193128	0.05462535083633789	0.10795187222611348	0.0997219821592549	NS	NS	FALSE	FALSE	ABCG36	ATP binding cassette transporter. Localized to the plasma membrane in uninfected cells. In infected leaves, the protein concentrated at  infection sites. Contributes to nonhost resistance to inappropriate pathogens that enter by direct penetration in a salicylic aciddependent manner. Required for mlo resistance.  Has Cd transporter activity (Cd2+ extrusion pump) and contributes to heavy metal resistance.
AT1G59870	-0.1315674487193128	0.05462535083633789	0.10795187222611348	0.0997219821592549	NS	NS	FALSE	FALSE	ATABCG36	ATP binding cassette transporter. Localized to the plasma membrane in uninfected cells. In infected leaves, the protein concentrated at  infection sites. Contributes to nonhost resistance to inappropriate pathogens that enter by direct penetration in a salicylic aciddependent manner. Required for mlo resistance.  Has Cd transporter activity (Cd2+ extrusion pump) and contributes to heavy metal resistance.
