Length	GC	MaxEnt5	MaxEnt3	Group
87	0.6551724137931034	7.07	8.1	Constitutive
9693	0.36706901887960386	8.0	10.61	Constitutive
426	0.4014084507042254	6.95	6.56	Constitutive
670	0.29402985074626864	9.72	9.66	Constitutive
950	0.42947368421052634	8.55	8.71	Constitutive
16947	0.38649908538384375	8.84	3.77	Constitutive
2143	0.4456369575361643	8.35	12.02	Constitutive
603	0.538971807628524	6.64	6.79	Constitutive
2491	0.48615014050582095	8.54	10.64	Constitutive
15286	0.5278032186314274	5.89	12.79	Constitutive
377	0.6684350132625995	6.92	7.39	Constitutive
299	0.6555183946488294	9.89	6.8	Constitutive
77	0.45454545454545453	9.81	9.15	Constitutive
3721	0.5936576189196453	7.47	7.1	Constitutive
3054	0.5013097576948264	10.07	8.46	Constitutive
538	0.604089219330855	7.93	8.96	Constitutive
5936	0.4898921832884097	8.35	8.11	Constitutive
2077	0.39046701974000964	10.86	9.44	Constitutive
169	0.5384615384615384	9.81	10.56	Constitutive
334	0.4880239520958084	4.51	9.67	Constitutive
7532	0.4761019649495486	10.1	12.78	Constitutive
1514	0.5495376486129459	5.56	10.9	Constitutive
87	0.6896551724137931	8.73	9.19	Constitutive
118	0.6610169491525424	5.97	6.52	Constitutive
2898	0.4478951000690131	9.04	9.46	Constitutive
115266	0.3302708517689518	10.28	10.02	Constitutive
183	0.5300546448087432	9.82	6.44	Constitutive
1269	0.41292356185973206	9.6	1.7	Constitutive
134	0.7089552238805971	9.46	11.58	Constitutive
594	0.43265993265993263	3.48	8.79	Constitutive
89	0.6966292134831461	9.14	8.24	Constitutive
3945	0.4803548795944233	8.28	3.15	Constitutive
83	0.1927710843373494	6.95	5.36	Constitutive
1758	0.2838452787258248	2.39	-0.38	Constitutive
1423	0.4314827828531272	11.01	5.97	Constitutive
3960	0.3696969696969697	9.82	10.72	Constitutive
1539	0.3313840155945419	9.16	7.81	Constitutive
2109	0.3385490753911807	3.69	10.15	Constitutive
130	0.7230769230769231	9.2	6.49	Constitutive
2118	0.4711992445703494	7.51	8.58	Constitutive
71	0.704225352112676	9.85	1.03	Constitutive
1049	0.6434699714013346	5.97	11.87	Constitutive
361	0.6565096952908587	8.23	9.57	Constitutive
2302	0.4622067767158992	9.63	11.89	Constitutive
1245	0.40481927710843374	8.76	8.49	Constitutive
4319	0.406807131280389	7.43	9.34	Constitutive
6268	0.39709636247606894	9.46	10.43	Constitutive
5845	0.3546621043627032	10.28	3.25	Constitutive
1072	0.3582089552238806	1.03	4.71	Constitutive
4576	0.41914335664335667	10.57	11.53	Constitutive
6020	0.41661129568106314	11.08	6.06	Constitutive
1415	0.3512367491166078	7.39	9.66	Constitutive
89	0.651685393258427	10.67	6.2	Constitutive
7124	0.37113980909601346	4.86	8.03	Constitutive
3126	0.5121561100447857	9.46	10.93	Constitutive
1845	0.3804878048780488	3.25	10.29	Constitutive
213	0.3380281690140845	7.3	10.27	Constitutive
88	0.4659090909090909	8.98	8.52	Constitutive
431	0.2505800464037123	9.43	6.66	Constitutive
20172	0.43704144358516755	2.9	13.77	Constitutive
856	0.3399532710280374	9.46	10.07	Constitutive
27483	0.39202416039005933	10.24	10.89	Constitutive
26151	0.36855187182134524	9.89	9.04	Constitutive
146	0.5821917808219178	7.79	5.84	Constitutive
225	0.6	7.77	7.3	Constitutive
208	0.25961538461538464	5.39	10.07	Constitutive
1170	0.4700854700854701	10.57	5.97	Constitutive
5663	0.5286950379657426	8.14	9.85	Constitutive
1708	0.547423887587822	10.77	4.96	Constitutive
410	0.6121951219512195	4.52	6.82	Constitutive
9986	0.39445223312637695	8.54	7.28	Constitutive
152	0.5789473684210527	8.41	10.24	Constitutive
1118	0.5107334525939177	7.43	13.16	Constitutive
12173	0.4502587694077056	10.77	10.38	Constitutive
1760	0.4	7.06	8.45	Constitutive
236	0.6313559322033898	9.85	6.62	Constitutive
10522	0.5058924158905151	11.08	7.56	Constitutive
1695	0.4265486725663717	10.08	8.12	Constitutive
211	0.5355450236966824	4.94	5.16	Constitutive
2621	0.3037008775276612	9.11	2.25	Constitutive
1510	0.40397350993377484	8.59	4.59	Constitutive
1258	0.4872813990461049	9.73	12.04	Constitutive
8620	0.3751740139211137	7.79	10.61	Constitutive
8650	0.6107514450867052	10.9	8.57	Constitutive
92	0.4782608695652174	7.65	8.35	Constitutive
973	0.44398766700924974	9.22	12.06	Constitutive
1030	0.3786407766990291	9.48	10.09	Constitutive
2367	0.3358681875792142	9.06	8.66	Constitutive
89	0.6741573033707865	4.68	-3.88	Constitutive
47852	0.4053122126556884	9.89	10.29	Constitutive
1500	0.35733333333333334	10.77	11.74	Constitutive
5941	0.37889244234977276	3.96	9.29	Constitutive
2985	0.45025125628140705	8.34	7.5	Constitutive
84	0.6547619047619048	7.2	9.66	Constitutive
762	0.5131233595800525	10.9	8.42	Constitutive
1064	0.5169172932330827	10.51	9.36	Constitutive
1787	0.6317851147174035	10.07	9.2	Constitutive
1599	0.3908692933083177	4.82	11.77	Constitutive
2852	0.5645161290322581	2.57	8.81	Constitutive
820	0.45121951219512196	8.62	7.39	Constitutive
15524	0.5335609379026024	9.44	12.96	Constitutive
1902	0.38801261829652994	10.06	6.75	Constitutive
81	0.2716049382716049	9.22	5.16	Constitutive
401	0.29177057356608477	10.08	8.52	Constitutive
831	0.44765342960288806	4.78	8.79	Constitutive
3323	0.37255492025278364	9.79	8.13	Constitutive
3024	0.5337301587301587	9.16	10.19	Constitutive
42429	0.37363595653915954	7.61	9.67	Constitutive
10015	0.5071392910634049	10.77	6.9	Constitutive
5295	0.42455146364494806	9.1	14.31	Constitutive
140	0.6785714285714286	7.77	10.94	Constitutive
2715	0.40810313075506444	3.45	4.4	Constitutive
2417	0.49606950765411667	9.6	8.25	Constitutive
1530	0.32679738562091504	10.77	5.95	Constitutive
1226	0.27732463295269166	4.37	11.4	Constitutive
156	0.48717948717948717	8.02	6.58	Constitutive
855	0.4421052631578947	5.91	10.89	Constitutive
1337	0.5579655946148093	8.67	5.83	Constitutive
204	0.3284313725490196	8.4	7.16	Constitutive
1140	0.5017543859649123	-4.71	2.53	Constitutive
1239	0.31799838579499595	5.66	12.05	Constitutive
3527	0.4241565069464134	8.73	7.94	Constitutive
694	0.3919308357348703	9.46	7.1	Constitutive
107	0.6448598130841121	7.61	10.2	Constitutive
2131	0.4697325199436884	9.13	9.15	Constitutive
1110	0.5126126126126126	7.7	7.41	Constitutive
8519	0.44207066557107644	7.82	11.91	Constitutive
218	0.3348623853211009	10.11	7.05	Constitutive
1125	0.2995555555555556	8.04	4.93	Constitutive
5550	0.5066666666666667	6.41	11.0	Constitutive
40247	0.5113424603076006	7.82	0.98	Constitutive
68339	0.371281405932191	8.46	5.15	Constitutive
3334	0.42291541691661666	10.77	8.88	Constitutive
1959	0.31546707503828486	3.77	7.05	Constitutive
711	0.6455696202531646	8.07	7.62	Constitutive
1238	0.5008077544426495	6.69	8.3	Constitutive
3426	0.396964389959136	9.72	5.17	Constitutive
19193	0.3760746105350909	10.24	11.97	Constitutive
3865	0.3943078913324709	9.45	11.55	Constitutive
2526	0.3950910530482977	8.83	9.61	Constitutive
6855	0.462727935813275	9.88	9.66	Constitutive
92	0.5760869565217391	8.1	8.12	Constitutive
115	0.6260869565217392	10.91	9.84	Constitutive
434	0.25806451612903225	10.06	7.75	Constitutive
469	0.5671641791044776	6.62	9.24	Constitutive
1490	0.6228187919463087	3.32	11.49	Constitutive
5254	0.3983631518842786	10.03	5.69	Constitutive
12932	0.3765078874110733	8.88	11.41	Constitutive
1059	0.364494806421152	4.87	10.77	Constitutive
4451	0.4500112334306897	6.84	10.27	Constitutive
6337	0.4052390721161433	6.45	10.1	Constitutive
3648	0.37225877192982454	9.6	10.18	Constitutive
229	0.3624454148471616	8.14	6.14	Constitutive
2936	0.47649863760217986	9.99	9.01	Constitutive
28147	0.4070416030127545	9.22	9.96	Constitutive
2770	0.36570397111913355	9.81	10.81	Constitutive
1677	0.47465712581991654	7.3	8.78	Constitutive
144	0.5208333333333334	11.01	6.3	Constitutive
80	0.6375	9.79	12.24	Constitutive
691	0.6743849493487699	8.28	11.16	Constitutive
1101	0.45958219800181654	11.0	3.73	Constitutive
152	0.5723684210526315	-1.95	10.44	Constitutive
956	0.4884937238493724	9.22	8.37	Constitutive
500	0.538	9.1	11.19	Constitutive
1344	0.3318452380952381	10.75	8.89	Constitutive
4298	0.3592368543508609	8.95	7.59	Constitutive
219	0.5707762557077626	8.99	13.28	Constitutive
1084	0.3247232472324723	9.46	7.48	Constitutive
10591	0.4551033896704749	9.4	10.08	Constitutive
213	0.5211267605633803	9.04	5.14	Constitutive
23858	0.3973509933774834	6.77	11.82	Constitutive
10211	0.38830672803838995	4.84	13.7	Constitutive
2073	0.43463579353593823	4.51	10.01	Constitutive
212	0.42452830188679247	9.05	8.59	Constitutive
371	0.4420485175202156	8.38	11.52	Constitutive
12144	0.3493906455862978	9.55	7.75	Constitutive
1557	0.4881181759794477	10.08	9.32	Constitutive
80	0.3125	6.12	6.9	Constitutive
1465	0.4300341296928328	6.6	11.52	Constitutive
845	0.31597633136094677	8.69	2.39	Constitutive
3415	0.43396778916544654	9.66	11.14	Constitutive
5299	0.43895074542366486	8.68	8.4	Constitutive
78	0.5769230769230769	7.29	7.41	Constitutive
5027	0.45195941913666204	11.0	11.55	Constitutive
419	0.5584725536992841	8.73	10.06	Constitutive
414	0.28502415458937197	9.11	0.86	Constitutive
498	0.321285140562249	7.2	9.06	Constitutive
3065	0.5070146818923328	4.94	8.18	Constitutive
147	0.6666666666666666	7.15	7.54	Constitutive
694	0.27953890489913547	7.76	4.86	Constitutive
439	0.37585421412300685	9.86	8.29	Constitutive
818	0.6491442542787286	5.92	6.52	Constitutive
5770	0.39601386481802425	11.37	8.42	Constitutive
2925	0.3524786324786325	10.22	5.79	Constitutive
451	0.623059866962306	8.37	7.05	Constitutive
7650	0.3597385620915033	9.65	7.73	Constitutive
3088	0.602979274611399	11.0	7.88	Constitutive
148	0.33783783783783783	6.64	8.28	Constitutive
27612	0.33847602491670287	7.36	10.06	Constitutive
13030	0.3408288564850345	9.65	9.89	Constitutive
504	0.4305555555555556	9.8	7.24	Constitutive
1818	0.4647964796479648	6.64	11.4	Constitutive
