class,intron_length,GC_intron,PPT_density,T_block_length,SRSF3_count,SRSF3_density,SRSF5_count,SRSF5_density,SRSF11_count,SRSF11_density,SRSF1_count,SRSF1_density,SRSF2_count,SRSF2_density,SRSF7_count,SRSF7_density,PCBP2_count,PCBP2_density,PCBP2_long_count,PCBP2_long_density,PCBP3_count,PCBP3_density,HNRNPH1_count,HNRNPH1_density,HNRNPF_count,HNRNPF_density,HNRNPA2B1_count,HNRNPA2B1_density,RBM25_count,RBM25_density,RBM6_count,RBM6_density,RBM39_count,RBM39_density,RBM24_count,RBM24_density,PTBP1_count,PTBP1_density,ESRP1_count,ESRP1_density,SS5_score,SS3_score,BP_count,rel_position,is_first_intron,upstream_exon_GC,upstream_exon_length,codon_optimality,decoy_5ss_count,decoy_3ss_count,decoy_total,SS5_accessibility,SS3_accessibility
1,597,0.644891122278057,0.5333333333333333,4,4,6.700167504187605,3,5.025125628140704,2,3.3500837520938025,2,3.3500837520938025,0,0,0,0,10,16.750418760469014,1,1.6750418760469012,0,0,0,0,0,0,2,3.3500837520938025,1,1.6750418760469012,0,0,4,6.700167504187605,1,1.6750418760469012,4,6.700167504187605,1,1.6750418760469012,4.333333333333334,4.888888888888889,0,0,1,0.8,50,0.1875,9,17,26,-0.1111111111111111,0.21739130434782608
1,221,0.5067873303167421,0.4666666666666667,5,3,13.574660633484163,0,0,0,0,1,4.524886877828054,0,0,0,0,5,22.624434389140273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.111111111111111,0,0,1,0.38,50,0.625,12,17,29,0.6666666666666666,0.30434782608695654
1,1108,0.5667870036101083,0.5333333333333333,8,8,7.2202166064981945,4,3.6101083032490973,2,1.8050541516245486,4,3.6101083032490973,0,0,0,0,27,24.368231046931406,1,0.9025270758122743,4,3.6101083032490973,2,1.8050541516245486,1,0.9025270758122743,5,4.512635379061371,2,1.8050541516245486,0,0,8,7.2202166064981945,3,2.707581227436823,1,0.9025270758122743,1,0.9025270758122743,3.333333333333333,4.444444444444445,0,0,1,0.74,50,0.125,6,15,21,0.4444444444444445,0.21739130434782608
1,261,0.5977011494252874,0.3333333333333333,3,5,19.157088122605362,2,7.662835249042145,2,7.662835249042145,2,7.662835249042145,0,0,0,0,8,30.65134099616858,0,0,0,0,0,0,0,0,3,11.494252873563218,0,0,1,3.8314176245210727,2,7.662835249042145,1,3.8314176245210727,1,3.8314176245210727,0,0,9.333333333333334,3.111111111111111,0,0,1,0.62,50,0.5,8,22,30,0.5555555555555556,0.1739130434782609
1,1639,0.6137888956680903,0.3333333333333333,8,6,3.6607687614399023,5,3.0506406345332517,2,1.2202562538133008,4,2.4405125076266017,0,0,0,0,53,32.33679072605247,0,0,5,3.0506406345332517,2,1.2202562538133008,0,0,4,2.4405125076266017,3,1.8303843807199511,2,1.2202562538133008,13,7.9316656497864555,2,1.2202562538133008,2,1.2202562538133008,2,1.2202562538133008,2,3.5555555555555554,0,0,1,0.6,50,0.5625,10,17,27,0.1111111111111111,0.34782608695652173
1,334,0.6347305389221557,0.2,3,0,0,0,0,1,2.994011976047904,2,5.988023952095808,0,0,0,0,8,23.95209580838323,0,0,0,0,1,2.994011976047904,0,0,3,8.982035928143713,0,0,0,0,3,8.982035928143713,3,8.982035928143713,0,0,0,0,3,2.2222222222222223,1,0,1,0.56,50,0.3125,13,18,31,0.2222222222222222,0.34782608695652173
1,192,0.5364583333333334,0.4666666666666667,5,0,0,0,0,0,0,0,0,0,0,0,0,2,10.416666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10.416666666666666,0,0,2,10.416666666666666,0,0,3,4,0,0,1,0.3,50,0.625,5,13,18,0.2222222222222222,0.34782608695652173
1,359,0.5738161559888579,0.4666666666666667,3,2,5.571030640668524,0,0,1,2.785515320334262,1,2.785515320334262,0,0,0,0,8,22.284122562674096,0,0,2,5.571030640668524,0,0,0,0,2,5.571030640668524,1,2.785515320334262,0,0,0,0,1,2.785515320334262,0,0,0,0,3.666666666666667,4.444444444444445,2,0,1,0.6,50,0.375,11,11,22,0.3333333333333333,0.5652173913043478
1,378,0.626984126984127,0.3333333333333333,3,5,13.227513227513228,3,7.936507936507937,0,0,4,10.582010582010582,0,0,0,0,9,23.80952380952381,0,0,1,2.6455026455026456,0,0,0,0,0,0,1,2.6455026455026456,2,5.291005291005291,2,5.291005291005291,0,0,0,0,1,2.6455026455026456,9,3.111111111111111,1,0,1,0.58,50,0.375,11,21,32,0.2222222222222222,0.17391304347826086
1,391,0.7135549872122762,0.3333333333333333,3,4,10.230179028132993,2,5.115089514066496,1,2.557544757033248,2,5.115089514066496,0,0,0,0,9,23.017902813299234,0,0,1,2.557544757033248,0,0,0,0,1,2.557544757033248,4,10.230179028132993,1,2.557544757033248,0,0,1,2.557544757033248,0,0,1,2.557544757033248,3.6666666666666665,3.111111111111111,0,0,1,0.78,50,0.125,9,11,20,-0.1111111111111111,0
1,304,0.7335526315789473,0.4666666666666667,4,2,6.578947368421053,5,16.447368421052634,0,0,2,6.578947368421053,0,0,0,0,12,39.473684210526315,0,0,0,0,1,3.2894736842105265,0,0,0,0,0,0,0,0,3,9.868421052631579,0,0,0,0,1,3.2894736842105265,1.3333333333333333,3.5555555555555554,0,0,1,0.86,50,0.0625,3,8,11,0.4444444444444445,0.2608695652173913
1,1609,0.5444375388440025,0.5333333333333333,9,12,7.458048477315103,5,3.107520198881293,4,2.4860161591050343,9,5.593536357986327,0,0,0,0,32,19.888129272840274,1,0.6215040397762586,1,0.6215040397762586,2,1.2430080795525171,0,0,4,2.4860161591050343,4,2.4860161591050343,0,0,10,6.215040397762586,2,1.2430080795525171,5,3.107520198881293,5,3.107520198881293,4.666666666666667,3.5555555555555554,0,0,1,0.62,50,0.4375,12,12,24,0.4444444444444444,0.34782608695652173
1,208,0.6105769230769231,0.6,3,4,19.23076923076923,0,0,0,0,0,0,0,0,0,0,9,43.269230769230774,0,0,1,4.8076923076923075,0,0,0,0,0,0,0,0,0,0,4,19.23076923076923,0,0,3,14.423076923076923,0,0,3.333333333333333,5.333333333333333,0,0,1,0.64,50,0.3125,5,10,15,0.5555555555555556,0.30434782608695654
1,226,0.6415929203539823,0.4666666666666667,3,3,13.274336283185841,1,4.424778761061947,2,8.849557522123893,0,0,0,0,0,0,6,26.548672566371682,0,0,1,4.424778761061947,0,0,0,0,3,13.274336283185841,0,0,0,0,0,0,3,13.274336283185841,0,0,0,0,1.3333333333333333,4,0,0,1,0.68,50,0.3125,9,9,18,0.5555555555555556,0.30434782608695654
1,302,0.5562913907284768,0.4666666666666667,3,3,9.933774834437086,0,0,2,6.622516556291391,2,6.622516556291391,0,0,0,0,5,16.55629139072848,0,0,0,0,0,0,0,0,2,6.622516556291391,0,0,0,0,0,0,0,0,0,0,0,0,1.6666666666666667,3.5555555555555554,0,0,1,0.56,50,0.5,7,13,20,0.4444444444444444,0.2608695652173913
1,1004,0.6723107569721115,0.6666666666666666,4,7,6.972111553784861,5,4.9800796812749,2,1.9920318725099602,5,4.9800796812749,0,0,0,0,22,21.91235059760956,0,0,1,0.9960159362549801,1,0.9960159362549801,1,0.9960159362549801,6,5.9760956175298805,5,4.9800796812749,0,0,1,0.9960159362549801,4,3.9840637450199203,1,0.9960159362549801,1,0.9960159362549801,1.6666666666666667,4.888888888888889,0,0,1,0.72,50,0.1875,4,15,19,0.3333333333333333,0.21739130434782608
1,1603,0.5464753587024329,0.5333333333333333,13,11,6.862133499688085,3,1.8714909544603868,3,1.8714909544603868,2,1.2476606363069245,0,0,0,0,28,17.467248908296945,0,0,5,3.1191515907673115,1,0.6238303181534622,0,0,5,3.1191515907673115,3,1.8714909544603868,0,0,7,4.366812227074236,2,1.2476606363069245,3,1.8714909544603868,3,1.8714909544603868,3,4.888888888888889,0,0,1,0.44,50,0.4375,5,12,17,0.1111111111111111,0.21739130434782608
