Length	GC	MaxEnt5	MaxEnt3	Group
1721	0.5740848343986055	10.47	5.33	Constitutive
383	0.3733681462140992	8.95	6.09	Constitutive
2844	0.37341772151898733	8.1	7.9	Constitutive
14324	0.3919994414967886	5.16	9.53	Constitutive
756	0.4603174603174603	6.66	10.16	Constitutive
9950	0.4444221105527638	9.65	12.22	Constitutive
23726	0.4132597150805024	9.48	9.08	Constitutive
4198	0.39256788947117677	8.55	6.56	Constitutive
569	0.523725834797891	10.67	10.23	Constitutive
682	0.48533724340175954	10.13	11.67	Constitutive
1322	0.3245083207261725	8.91	8.23	Constitutive
7346	0.5306289136945276	10.45	6.4	Constitutive
6280	0.49984076433121016	10.47	11.21	Constitutive
4790	0.5549060542797495	7.15	5.75	Constitutive
14275	0.40994746059544657	9.48	9.08	Constitutive
36346	0.38276564133604796	7.77	11.23	Constitutive
325	0.6276923076923077	3.82	8.69	Constitutive
510519	0.37554331964138454	7.23	7.47	Constitutive
262	0.6526717557251909	6.49	5.34	Constitutive
115	0.41739130434782606	5.71	10.54	Constitutive
307	0.2964169381107492	11.08	11.09	Constitutive
232	0.4956896551724138	7.97	12.35	Constitutive
326	0.5061349693251533	8.05	8.55	Constitutive
64952	0.3878248552777436	9.27	9.88	Constitutive
528	0.6268939393939394	9.25	10.36	Constitutive
199	0.628140703517588	9.25	13.18	Constitutive
7395	0.4478701825557809	10.36	9.86	Constitutive
645	0.5627906976744186	4.14	9.59	Constitutive
3161	0.44036697247706424	8.94	9.46	Constitutive
85755	0.35383359570870504	9.9	9.48	Constitutive
17092	0.3910016381933068	8.55	11.99	Constitutive
8315	0.31461214672279014	10.36	2.67	Constitutive
634	0.580441640378549	6.86	9.18	Constitutive
4225	0.4151479289940828	10.9	8.32	Constitutive
90	0.7666666666666667	8.19	9.23	Constitutive
3167	0.36659299021155667	10.29	9.18	Constitutive
693	0.4963924963924964	9.16	10.48	Constitutive
107	0.32710280373831774	8.63	9.09	Constitutive
1350	0.5614814814814815	6.29	7.7	Constitutive
12481	0.4354619020911786	10.08	6.94	Constitutive
372	0.5752688172043011	8.49	7.65	Constitutive
687	0.6419213973799127	8.02	6.67	Constitutive
1606	0.4383561643835616	-0.37	10.66	Constitutive
5566	0.44969457420050307	10.28	11.63	Constitutive
108	0.6759259259259259	8.5	11.73	Constitutive
669	0.4110612855007474	11.11	5.44	Constitutive
559	0.6332737030411449	8.99	6.52	Constitutive
79	0.7468354430379747	8.68	7.2	Constitutive
310	0.6161290322580645	6.32	7.94	Constitutive
