goID	Pvalue	FoldEnrch	test_count	bkgd_count	expected
GO:1904115	0.23082	3.846	1	15	0.26001040041601664
GO:0001669	0.25843	3.3935294117647063	1	17	0.29467845380481883
GO:0002177	0.1601	5.769	1	10	0.17334026694401108
GO:0042742	0.5297	1.341627906976744	1	43	0.7453631478592477
GO:0006623	0.34425	2.4037499999999996	1	24	0.41601664066562666
GO:0000209	0.53032	1.341627906976744	1	43	0.7453631478592477
GO:0005874	0.83342	0.5655882352941176	1	102	1.7680707228289132
GO:0008420	0.10003	9.614999999999998	1	6	0.10400416016640666
GO:0017018	0.59793	1.1094230769230768	1	52	0.9013693881088577
GO:0004722	0.54681	1.282	1	45	0.7800312012480499
GO:0004721	0.65473	0.9457377049180328	1	61	1.0573756283584677
GO:0008915	0.01751	57.68999999999999	1	1	0.017334026694401112
GO:0005543	0.36465	2.2188461538461537	1	26	0.45068469405442885
GO:0008780	0.01731	57.68999999999999	1	1	0.017334026694401112
GO:0016746	0.84577	0.5442452830188679	1	106	1.8374068296065176
GO:0008610	0.35572	2.3076000000000003	1	25	0.4333506673600277
GO:0016410	0.05134	19.229999999999997	1	3	0.05200208008320333
GO:0103118	0.01731	57.68999999999999	1	1	0.017334026694401112
GO:0071922	0.01758	57.68999999999999	1	1	0.017334026694401112
GO:0008156	0.05086	19.229999999999997	1	3	0.05200208008320333
GO:0000070	0.17476	5.244545454545454	1	11	0.1906742936384122
GO:0072686	0.50539	1.44225	1	40	0.6933610677760443
GO:0140083	0.01758	57.68999999999999	1	1	0.017334026694401112
