domain	pval	odds_ratio	log2_odds	count_in_set	count_in_bg	set	fdr
Peptidase_C1A_C	0.09481627894149505	10.897382254574575	3.4459097104481358	1	13	Lost_psE	0.13747304585949505
Peptidase_C1A_papain-like	0.05945455176635146	18.68821915512623	4.22405719267683	1	8	Lost_psE	0.10053224207764884
Peptidase_C2_calpain_cat	0.1085882648545324	9.340147275083957	3.2234452984743514	1	15	Lost_psE	0.1491370473002122
Peptidase_C54	0.030179798952418856	43.53938491870723	5.444249121591278	1	4	Lost_psE	0.06549016372674892
Peptidase_C54_cat	0.030179798952418856	43.53938491870723	5.444249121591278	1	4	Lost_psE	0.06549016372674892
Peptidase_M1	0.08083293286300287	13.073093252868745	3.7085286356058007	1	11	Lost_psE	0.12352638331881424
Peptidase_M1_aminopeptidases	0.05945455176635146	18.68821915512623	4.22405719267683	1	8	Lost_psE	0.10053224207764884
Peptidase_M1_dom	0.08785122616931887	11.886893797850895	3.5712998639745277	1	12	Lost_psE	0.12997988235506042
Peptidase_M28	0.08083293286300287	13.073093252868745	3.7085286356058007	1	11	Lost_psE	0.12352638331881424
Peptidase_M28B	0.04492860165134166	26.128495720148138	4.707552162539805	1	6	Lost_psE	0.08627881910036407
Peptidase_M4/M1_CTD_sf	0.09481627894149505	10.897382254574575	3.4459097104481358	1	13	Lost_psE	0.13747304585949505
Peptidase_S1_PA	0.6173200718503303	1.049047982493006	0.06908066697291308	1	125	Lost_psE	0.6368864766633361
Peptidase_S1_PA_chymotrypsin	0.6083678267455699	1.0751758195685308	0.10457259774861755	1	122	Lost_psE	0.6286467543037556
Peptidase_S1A	0.5704300367404774	1.1942764849507022	0.2561368711850236	1	110	Lost_psE	0.5913215826720554
Peptidase_S8/S53_dom	0.08083293286300287	13.073093252868745	3.7085286356058007	1	11	Lost_psE	0.12352638331881424
Peptidase_S8/S53_dom_sf	0.08083293286300287	13.073093252868745	3.7085286356058007	1	11	Lost_psE	0.12352638331881424
PH_domain	0.05775454542773594	2.4834976745296875	1.3123733958808252	5	272	Lost_psE	0.10053224207764884
PH-BEACH_dom	0.05945455176635146	18.68821915512623	4.22405719267683	1	8	Lost_psE	0.10053224207764884
PH-like_dom_sf	0.0857813980363272	2.144858689911311	1.1008826015337971	7	442	Lost_psE	0.12997988235506042
PHD-type_Zinc_Finger	0.030179798952418856	43.53938491870723	5.444249121591278	1	4	Lost_psE	0.06549016372674892
PHD3_KMT2C	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
PHF7/G2E3_ePHD	0.015204747570368006	130.35475594955648	7.026299409853186	1	2	Lost_psE	0.04625369471172697
PHF7/G2E3_PHD	0.015204747570368006	130.35475594955648	7.026299409853186	1	2	Lost_psE	0.04625369471172697
Phosphofurin_acidic_CS-1	0.015204747570368006	130.35475594955648	7.026299409853186	1	2	Lost_psE	0.04625369471172697
PIG-T	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
PKHG5/7	0.015204747570368006	130.35475594955648	7.026299409853186	1	2	Lost_psE	0.04625369471172697
Pkinase_C	0.22946856090628273	3.959362149414783	1.9852680318210805	1	34	Lost_psE	0.2662816990195901
PMT_4TMC	0.015204747570368006	130.35475594955648	7.026299409853186	1	2	Lost_psE	0.04625369471172697
Pol/histidinol_Pase-like	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
PolB_thumb	0.030179798952418856	43.53938491870723	5.444249121591278	1	4	Lost_psE	0.06549016372674892
POMGNT1_PANDER-like	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
Post-SET_dom	0.1085882648545324	9.340147275083957	3.2234452984743514	1	15	Lost_psE	0.1491370473002122
PQQ_repeat	0.022720768602030286	65.2569532164068	6.028059725863084	1	3	Lost_psE	0.05710895891861666
Pro_4_hyd_alph	0.12215206463749897	8.171587846583922	3.0306164401596702	1	17	Lost_psE	0.1622877430183915
Pro_4_hyd_alph_FE2OG_OXY	0.08785122616931887	11.886893797850895	3.5712998639745277	1	12	Lost_psE	0.12997988235506042
Pro_4_hyd_alph_N	0.022720768602030286	65.2569532164068	6.028059725863084	1	3	Lost_psE	0.05710895891861666
PROSER3	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
Prot_inhib_I29	0.05221922301278174	21.802573574626443	4.44642653558718	1	7	Lost_psE	0.0946927971624538
Prot_kinase_dom	0.034589910652226656	2.22217960471704	1.15197542535122	8	490	Lost_psE	0.07431693674785332
Prot-tyrosine_phosphatase-like	0.18844119322383962	2.5701012124002696	1.3618251748871493	2	104	Lost_psE	0.22509214089673318
Proteasome_activ_PA28	0.022720768602030286	65.2569532164068	6.028059725863084	1	3	Lost_psE	0.05710895891861666
Proteasome_activ_PA28_N	0.022720768602030286	65.2569532164068	6.028059725863084	1	3	Lost_psE	0.05710895891861666
Proteasome_activ_sf	0.022720768602030286	65.2569532164068	6.028059725863084	1	3	Lost_psE	0.05710895891861666
Proteasome_alpha	0.06663500451719968	16.34442378257498	4.030726611137534	1	9	Lost_psE	0.10872027052806264
Proteasome_alpha-type	0.06663500451719968	16.34442378257498	4.030726611137534	1	9	Lost_psE	0.10872027052806264
Proteasome_asu_N	0.05945455176635146	18.68821915512623	4.22405719267683	1	8	Lost_psE	0.10053224207764884
Proteasome_bsu_CS	0.08785122616931887	11.886893797850895	3.5712998639745277	1	12	Lost_psE	0.12997988235506042
Proteasome_sua/b	0.14211424215782958	6.879911737293328	2.782390056644523	1	20	Lost_psE	0.18158321179706685
Protein_kinase_ATP_BS	0.02786007147413381	2.488945641925637	1.3155347224922427	7	383	Lost_psE	0.06549016372674892
PRR29-like	0.015204747570368006	130.35475594955648	7.026299409853186	1	2	Lost_psE	0.04625369471172697
PS_Dcarbxylase	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
PSD_type1_euk	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
PSD-B	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
PSI	0.2808975101664139	3.1095803280423455	1.636719885980665	1	43	Lost_psE	0.31582777049798866
PSMD4	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
PSMD4_RAZUL-like	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
PTB	0.05945455176635146	18.68821915512623	4.22405719267683	1	8	Lost_psE	0.10053224207764884
PTB/PI_dom	0.26977191125504796	3.2653947565242767	1.707257411022566	1	41	Lost_psE	0.30437004198793105
Pur_nucleotidase	0.030179798952418856	43.53938491870723	5.444249121591278	1	4	Lost_psE	0.06549016372674892
PX_ARHGAP32	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
PX_dom_sf	0.33404935659463736	2.5103127237706424	1.3278671000046627	1	53	Lost_psE	0.36487605896494785
PX-Rho_GAP	0.030179798952418856	43.53938491870723	5.444249121591278	1	4	Lost_psE	0.06549016372674892
Quinoprotein_ADH-like_sf	0.06607738866306422	4.957355558934887	2.3095707376696293	2	55	Lost_psE	0.10872027052806264
RA_dom	0.26977191125504796	3.2653947565242767	1.707257411022566	1	41	Lost_psE	0.30437004198793105
RAB3GAP_N	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
Rab3GAP2	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
RAB3GAP2_C	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
RAI1	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
RAI1-like_fam	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
RBD_dom	0.05945455176635146	18.68821915512623	4.22405719267683	1	8	Lost_psE	0.10053224207764884
RBD_domain_sf	0.13676011422995288	2.0676382280707117	1.0479837812882173	4	259	Lost_psE	0.17699967070317957
RBM	0.008170311448707869	16.445957154018387	4.039661070295174	2	18	Lost_psE	0.037991948236491595
RBM1CTR	0.06663500451719968	16.34442378257498	4.030726611137534	1	9	Lost_psE	0.10872027052806264
RBM3/CIRBP_RRM	0.015204747570368006	130.35475594955648	7.026299409853186	1	2	Lost_psE	0.04625369471172697
RCC1/BLIP-II	0.16162538144850053	5.94167180750527	2.570868919080949	1	23	Lost_psE	0.2011818801586498
Reg_chr_condens	0.1551711539835525	6.224823306649579	2.6380328864597087	1	22	Lost_psE	0.19388948415219323
RelA_RHD_N	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
RHD_CS	0.037582267935221535	32.6799025060318	5.0303317743845986	1	5	Lost_psE	0.07645642633071631
RHD_dimer	0.07376099475217311	14.531829002692799	3.8611443895341195	1	10	Lost_psE	0.11542886438380938
RHD_DNA_bind_dom	0.07376099475217311	14.531829002692799	3.8611443895341195	1	10	Lost_psE	0.11542886438380938
RHD_DNA_bind_dom_sf	0.07376099475217311	14.531829002692799	3.8611443895341195	1	10	Lost_psE	0.11542886438380938
Rho_GTPase_activation_prot	0.03529117585052722	4.352104086644773	2.121713061066772	3	94	Lost_psE	0.07557419565359612
Rho-assoc_Ser/Thr_Kinase	0.003041613643875573	29.243246751960452	4.870031591297975	2	11	Lost_psE	0.03574085217835012
Rho-GAP	0.030179798952418856	43.53938491870723	5.444249121591278	1	4	Lost_psE	0.06549016372674892
RhoGAP_ARAP	0.022720768602030286	65.2569532164068	6.028059725863084	1	3	Lost_psE	0.05710895891861666
RhoGAP_dom	0.016433557259519272	5.917632833194689	2.5650201855210017	3	70	Lost_psE	0.04975928267882347
Riboflavin_synthase-like_b-brl	0.14211424215782958	6.879911737293328	2.782390056644523	1	20	Lost_psE	0.18158321179706685
Ribosomal_eL24	0.015204747570368006	130.35475594955648	7.026299409853186	1	2	Lost_psE	0.04625369471172697
Ribosomal_eL24_CS	0.015204747570368006	130.35475594955648	7.026299409853186	1	2	Lost_psE	0.04625369471172697
Ribosomal_eL24-rel_N	0.015204747570368006	130.35475594955648	7.026299409853186	1	2	Lost_psE	0.04625369471172697
Ribosomal_Su5_D2-typ_SF	0.22946856090628273	3.959362149414783	1.9852680318210805	1	34	Lost_psE	0.2662816990195901
RMD5B_dRING	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
RNA_helicase_DEAD_Q_motif	0.02767102044585292	8.219078143094473	3.0389765894096707	2	34	Lost_psE	0.06549016372674892
RNA-helicase_DEAD-box_CS	0.0179231527758458	10.521313958380382	3.395242982299463	2	27	Lost_psE	0.05376945832753739
RNase_P_p30	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
RRM_dom	0.09856547971683854	2.346821029388788	1.2307078248784293	4	229	Lost_psE	0.141960458618721
RRM_dom_euk	7.840734842425985e-4	18.913179221143373	4.24131998916702	3	24	Lost_psE	0.03574085217835012
rRNA_Ade_Mease_Trfase_CS	1.7270550704344477e-4	262.48942447857513	8.036115488516675	2	3	Lost_psE	0.014053910635660319
rRNA_Ade_methylase_Trfase_N	0.022720768602030286	65.2569532164068	6.028059725863084	1	3	Lost_psE	0.05710895891861666
rRNA_adenine_dimethylase	0.015204747570368006	130.35475594955648	7.026299409853186	1	2	Lost_psE	0.04625369471172697
RRP4_S1	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
RTK	0.26977191125504796	3.2653947565242767	1.707257411022566	1	41	Lost_psE	0.30437004198793105
Run_dom	0.1355108049716418	7.264109313093302	2.860785913018558	1	19	Lost_psE	0.17573213951501757
Run_dom_sf	0.1355108049716418	7.264109313093302	2.860785913018558	1	19	Lost_psE	0.17573213951501757
RUN_RUSC1	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
RUSC1_2	0.022720768602030286	65.2569532164068	6.028059725863084	1	3	Lost_psE	0.05710895891861666
RuvB-like	0.015204747570368006	130.35475594955648	7.026299409853186	1	2	Lost_psE	0.04625369471172697
RuvB-like_C	0.015204747570368006	130.35475594955648	7.026299409853186	1	2	Lost_psE	0.04625369471172697
RuvBL1/2_DNA/RNA_bd_dom	0.015204747570368006	130.35475594955648	7.026299409853186	1	2	Lost_psE	0.04625369471172697
S53_propep	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
SAM	0.5178366063915887	1.3858644698646942	0.4707861765122021	1	95	Lost_psE	0.5428528675699263
SAM-dependent_MTases_sf	0.2669452859073765	2.013754855216375	1.0098880673120514	2	132	Lost_psE	0.30275501938275623
SAM/pointed_sf	0.6202587402405579	1.0405960267828531	0.057410103920979914	1	126	Lost_psE	0.6389057593300683
SAMP	0.015204747570368006	130.35475594955648	7.026299409853186	1	2	Lost_psE	0.04625369471172697
SAP_dom	0.16803062046969203	5.683140593230728	2.5066884061595793	1	24	Lost_psE	0.20756723705079605
SAP_dom_sf	0.18695608706537464	5.027347502527637	2.329797415081816	1	27	Lost_psE	0.2237286997786009
Sc_DH/Rdtase_CS	0.2412041228922106	3.7328910879764954	1.9002934167233905	1	36	Lost_psE	0.27596464675365395
SDR_fam	0.06819176777226162	4.865637664308647	2.2826288892512	2	56	Lost_psE	0.11070533870259928
SDS22/Internalin_LRR	0.04492860165134166	26.128495720148138	4.707552162539805	1	6	Lost_psE	0.08627881910036407
Sds3	0.022720768602030286	65.2569532164068	6.028059725863084	1	3	Lost_psE	0.05710895891861666
Sec-1-like_dom1	0.05221922301278174	21.802573574626443	4.44642653558718	1	7	Lost_psE	0.0946927971624538
Sec-1-like_dom3a	0.05221922301278174	21.802573574626443	4.44642653558718	1	7	Lost_psE	0.0946927971624538
Sec1-like	0.05945455176635146	18.68821915512623	4.22405719267683	1	8	Lost_psE	0.10053224207764884
Sec1-like_dom2	0.05945455176635146	18.68821915512623	4.22405719267683	1	8	Lost_psE	0.10053224207764884
Sec1-like_sf	0.05945455176635146	18.68821915512623	4.22405719267683	1	8	Lost_psE	0.10053224207764884
SEC31-like	0.015204747570368006	130.35475594955648	7.026299409853186	1	2	Lost_psE	0.04625369471172697
Sec7_C_sf	0.1085882648545324	9.340147275083957	3.2234452984743514	1	15	Lost_psE	0.1491370473002122
Sec7_dom	0.12215206463749897	8.171587846583922	3.0306164401596702	1	17	Lost_psE	0.1622877430183915
Sec7_dom_sf	0.11539599149310956	8.716418609409217	3.1237354841106155	1	16	Lost_psE	0.15553372766462592
Sedolisin_dom	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
SEFIR_dom	0.04492860165134166	26.128495720148138	4.707552162539805	1	6	Lost_psE	0.08627881910036407
Ser-Thr/Tyr_kinase_cat_dom	0.32887561546075406	1.720394361600478	0.7827393081317969	2	154	Lost_psE	0.3598714701113009
Ser/Thr_kinase_AS	0.09021261896132633	2.1627329826926256	1.1128555569667091	5	311	Lost_psE	0.1331710089429103
Ser/Thr_Kinases-Pseudokinases	0.1288568736486045	7.690883198819067	2.9431492826333483	1	18	Lost_psE	0.1691246466637934
Serine_protease_kringle	0.04492860165134166	26.128495720148138	4.707552162539805	1	6	Lost_psE	0.08627881910036407
Serine_Proteases_S1	0.07376099475217311	14.531829002692799	3.8611443895341195	1	10	Lost_psE	0.11542886438380938
SET_dom	0.32891478451032874	2.5597835537906612	1.356021826211796	1	52	Lost_psE	0.3598714701113009
SET_dom_sf	0.32891478451032874	2.5597835537906612	1.356021826211796	1	52	Lost_psE	0.3598714701113009
SH2	0.0520962454137445	3.6985464183863055	1.8869583823573028	3	110	Lost_psE	0.0946927971624538
SH2_dom_sf	0.05680378256739424	3.564044920171751	1.8335155202775175	3	114	Lost_psE	0.10053224207764884
SH3_domain	0.0927567919362434	2.4006673680012756	1.263435520278218	4	224	Lost_psE	0.1366169039603947
SH3-like_dom_sf	0.08381791681528256	2.4924086701591084	1.3175406406224341	4	216	Lost_psE	0.1277879715380537
Signaling_Regulatory_Domain	0.06663500451719968	16.34442378257498	4.030726611137534	1	9	Lost_psE	0.10872027052806264
SKICH	0.037582267935221535	32.6799025060318	5.0303317743845986	1	5	Lost_psE	0.07645642633071631
