Basic_Density	Proline_Density	Net_Charge_Density	Rare_Codon_Density	Hydrophobicity	Poly_Basic	Poly_Pro	Poly_Gly	DiPeptide_Slow	Group
0.1	0.1	0.08	0.04	0.23000000000000004	0	0	0	0	UFM1_dependent
0.13761467889908258	0.09174311926605505	0.06422018348623854	0.045871559633027525	-0.4431192660550466	0	0	1	1	UFM1_dependent
0.1	0.14	0.1	0.02	-0.07200000000000009	0	1	0	1	UFM1_dependent
0.12290502793296089	0.0670391061452514	0.03910614525139665	0.0	0.03351955307262568	1	0	0	1	UFM1_dependent
0.1320754716981132	0.09433962264150944	0.09433962264150944	0.03773584905660377	-0.6660377358490566	0	0	0	0	UFM1_dependent
0.14814814814814814	0.037037037037037035	0.07407407407407407	0.0	-0.5444444444444444	0	0	0	0	UFM1_dependent
0.15789473684210525	0.18421052631578946	0.05263157894736842	0.02631578947368421	-1.202631578947368	0	0	0	1	UFM1_dependent
0.08695652173913043	0.13043478260869565	0.07608695652173914	0.03260869565217391	0.5130434782608694	0	0	0	1	UFM1_dependent
0.08695652173913043	0.21739130434782608	0.08695652173913043	0.0	-0.46086956521739136	0	0	0	1	UFM1_dependent
0.07058823529411765	0.058823529411764705	0.011764705882352941	0.023529411764705882	-0.07294117647058819	0	0	0	1	UFM1_dependent
0.041666666666666664	0.041666666666666664	0.0	0.0	0.06249999999999999	0	0	0	1	UFM1_dependent
0.15789473684210525	0.05263157894736842	0.09210526315789473	0.0	-0.413157894736842	0	0	0	0	UFM1_dependent
0.08450704225352113	0.028169014084507043	0.04225352112676056	0.0	0.119718309859155	0	0	1	0	UFM1_dependent
0.15702479338842976	0.05785123966942149	0.0743801652892562	0.008264462809917356	-0.26280991735537185	1	0	0	1	UFM1_dependent
0.10357142857142858	0.041666666666666664	0.05476190476190476	0.013095238095238096	0.28630952380952407	1	0	0	1	UFM1_dependent
0.07894736842105263	0.10526315789473684	-0.05263157894736842	0.02631578947368421	-0.47105263157894744	0	0	0	1	UFM1_dependent
0.10526315789473684	0.18421052631578946	0.10526315789473684	0.02631578947368421	0.16052631578947363	0	0	0	1	UFM1_dependent
0.23255813953488372	0.046511627906976744	0.18604651162790697	0.0	-0.6162790697674417	0	0	0	0	UFM1_dependent
0.03571428571428571	0.07142857142857142	-0.03571428571428571	0.0	0.39999999999999997	0	0	0	0	UFM1_dependent
0.12	0.1	0.08666666666666667	0.0	-0.31799999999999995	0	0	1	1	UFM1_dependent
