Length	GC	MaxEnt5	MaxEnt3	Group
3667	0.46932097082083446	9.27	12.37	Constitutive
8321	0.4012738853503185	9.26	9.98	Constitutive
947	0.5469904963041182	9.88	12.29	Constitutive
3978	0.31950729009552536	9.54	12.93	Constitutive
2695	0.33617810760667904	8.54	8.19	Constitutive
380	0.6078947368421053	10.2	9.59	Constitutive
92	0.5652173913043478	7.61	7.64	Constitutive
1234	0.4173419773095624	10.77	6.22	Constitutive
2456	0.36237785016286644	7.68	11.3	Constitutive
1795	0.6038997214484679	9.88	7.77	Constitutive
8285	0.4150875075437538	5.89	7.23	Constitutive
4693	0.40357979970168334	8.35	8.12	Constitutive
2956	0.513531799729364	9.27	0.63	Constitutive
2472	0.4506472491909385	9.63	6.9	Constitutive
1435	0.3554006968641115	7.04	7.93	Constitutive
1677	0.4347048300536673	7.46	9.09	Constitutive
606	0.3118811881188119	8.46	11.68	Constitutive
302	0.5397350993377483	10.65	8.26	Constitutive
2314	0.41789109766637855	7.41	9.94	Constitutive
15410	0.39850746268656717	9.16	6.51	Constitutive
474	0.5864978902953587	3.35	11.74	Constitutive
12115	0.41139083780437474	9.89	7.21	Constitutive
167	0.592814371257485	8.27	11.42	Constitutive
2370	0.5333333333333333	1.79	8.85	Constitutive
98	0.336734693877551	7.0	-3.45	Constitutive
107	0.7009345794392523	7.96	9.19	Constitutive
2308	0.47053726169844023	10.07	8.12	Constitutive
1270	0.3637795275590551	8.14	10.1	Constitutive
95	0.6105263157894737	10.28	2.59	Constitutive
643	0.3048211508553655	8.59	8.81	Constitutive
5834	0.4038395611930065	8.55	10.76	Constitutive
908	0.6651982378854625	8.73	12.05	Constitutive
5492	0.43080844865258555	8.99	11.6	Constitutive
2769	0.3958107620079451	8.04	10.0	Constitutive
1659	0.43520192887281495	9.16	10.74	Constitutive
4446	0.4478182636077373	7.07	10.73	Constitutive
3518	0.3783399658897101	10.65	7.86	Constitutive
5528	0.46273516642547036	8.73	9.99	Constitutive
23285	0.41683487223534466	7.94	13.92	Constitutive
212	0.5943396226415094	6.43	11.8	Constitutive
433	0.5057736720554272	2.88	6.42	Constitutive
1246	0.5088282504012841	7.81	8.83	Constitutive
1944	0.5370370370370371	8.3	10.1	Constitutive
91	0.26373626373626374	11.81	6.62	Constitutive
18115	0.36560861164780567	3.09	5.94	Constitutive
8983	0.4234665479238562	8.94	9.05	Constitutive
1390	0.6064748201438849	10.03	6.06	Constitutive
1486	0.35935397039030953	8.83	4.92	Constitutive
14037	0.36945216214290805	5.75	7.81	Constitutive
1082	0.48613678373382624	8.05	4.62	Constitutive
1025	0.43609756097560975	8.4	2.51	Constitutive
758	0.5461741424802111	9.16	3.77	Constitutive
6438	0.34964274619447033	6.42	10.13	Constitutive
8248	0.4093113482056256	10.22	9.56	Constitutive
11187	0.5950657012603915	8.49	6.58	Constitutive
1337	0.4532535527299925	7.61	8.74	Constitutive
338	0.39349112426035504	9.43	11.91	Constitutive
8138	0.4659621528631113	9.14	7.74	Constitutive
181	0.6022099447513812	7.61	5.63	Constitutive
7868	0.4769954245043213	8.08	11.02	Constitutive
1453	0.2856159669649002	8.37	6.01	Constitutive
1338	0.3692077727952167	6.06	6.34	Constitutive
229	0.4192139737991266	9.72	7.78	Constitutive
418	0.3014354066985646	10.45	9.98	Constitutive
9170	0.4149400218102508	10.22	7.82	Constitutive
2700	0.38222222222222224	8.35	3.77	Constitutive
81	0.2839506172839506	7.0	8.86	Constitutive
175	0.56	7.67	9.23	Constitutive
146	0.5	8.1	11.04	Constitutive
1908	0.3694968553459119	7.67	8.89	Constitutive
566	0.5512367491166078	2.56	7.01	Constitutive
1544	0.4423575129533679	10.29	10.85	Constitutive
176	0.5909090909090909	7.58	10.63	Constitutive
10651	0.3974274715989109	7.12	9.64	Constitutive
91	0.6043956043956044	3.32	8.88	Constitutive
520	0.3596153846153846	9.04	11.37	Constitutive
346	0.2543352601156069	8.59	3.59	Constitutive
848	0.49410377358490565	7.27	8.7	Constitutive
1024	0.5556640625	8.42	4.57	Constitutive
500	0.436	9.48	-11.47	Constitutive
1890	0.5529100529100529	8.31	12.0	Constitutive
92	0.3804347826086957	9.82	9.68	Constitutive
3222	0.3324022346368715	10.15	9.33	Constitutive
2251	0.3909373611728121	8.62	10.14	Constitutive
942	0.5021231422505308	6.91	8.45	Constitutive
6279	0.4097786271699315	4.82	10.19	Constitutive
6782	0.35874373341197285	8.63	5.84	Constitutive
785	0.45095541401273886	7.66	4.68	Constitutive
516	0.35271317829457366	5.84	7.56	Constitutive
4659	0.3314015883236746	9.8	12.4	Constitutive
9274	0.39206383437567394	9.35	8.88	Constitutive
8009	0.40092396054438756	10.86	9.04	Constitutive
1144	0.5148601398601399	7.54	8.19	Constitutive
3227	0.30833591571118685	6.8	9.21	Constitutive
1683	0.3761140819964349	9.45	7.7	Constitutive
19660	0.41414038657171925	10.08	10.8	Constitutive
159	0.5786163522012578	9.6	8.0	Constitutive
5556	0.3939884809215263	9.46	8.7	Constitutive
509	0.3280943025540275	6.84	9.03	Constitutive
4433	0.3525829009699977	10.57	9.2	Constitutive
2748	0.38427947598253276	3.22	11.39	Constitutive
1996	0.5290581162324649	11.08	8.39	Constitutive
276	0.7065217391304348	6.8	1.97	Constitutive
75105	0.4116903002463218	7.13	11.13	Constitutive
15027	0.43122379716510284	8.59	12.18	Constitutive
383	0.4308093994778068	7.39	8.5	Constitutive
8275	0.5406646525679758	8.37	8.32	Constitutive
6669	0.50367371420003	-8.47	-1.77	Constitutive
4521	0.40101747401017473	8.68	10.76	Constitutive
410	0.3780487804878049	10.75	11.0	Constitutive
3746	0.4415376401494928	9.08	11.43	Constitutive
1851	0.3765532144786602	7.37	8.23	Constitutive
3686	0.40260444926749867	7.88	10.61	Constitutive
720	0.5708333333333333	7.09	10.81	Constitutive
2379	0.3467843631778058	9.48	6.57	Constitutive
21481	0.4194404357339044	8.56	10.56	Constitutive
5447	0.40884890765559023	8.5	-2.43	Constitutive
676	0.4541420118343195	7.54	5.11	Constitutive
3177	0.4192634560906516	8.73	6.82	Constitutive
770	0.36623376623376624	9.08	8.05	Constitutive
19902	0.4000100492412823	7.79	6.33	Constitutive
236157	0.3832450446101534	8.84	10.35	Constitutive
1414	0.4957567185289958	9.22	9.01	Constitutive
2869	0.3408853258975253	8.39	4.58	Constitutive
2823	0.41870350690754515	9.72	8.22	Constitutive
845	0.3408284023668639	7.4	4.05	Constitutive
2582	0.3435321456235476	7.44	5.09	Constitutive
1058	0.5	6.99	11.42	Constitutive
10665	0.47219878105954055	6.35	8.55	Constitutive
179	0.2346368715083799	9.8	8.05	Constitutive
12637	0.45999841734588903	7.39	9.27	Constitutive
675	0.56	8.07	7.92	Constitutive
2879	0.5557485237929837	7.0	6.74	Constitutive
500	0.532	8.68	4.66	Constitutive
8294	0.3647214854111406	9.46	7.52	Constitutive
805	0.36645962732919257	9.27	10.35	Constitutive
75833	0.42637110492793373	9.54	10.53	Constitutive
191	0.7015706806282722	8.48	9.67	Constitutive
1692	0.33747044917257685	6.9	9.04	Constitutive
82	0.573170731707317	8.41	7.08	Constitutive
163	0.5153374233128835	8.73	11.18	Constitutive
8696	0.4546918123275069	6.65	11.16	Constitutive
366	0.6010928961748634	7.0	7.79	Constitutive
17803	0.3400550469022075	3.78	11.62	Constitutive
2061	0.45900048520135855	9.88	8.06	Constitutive
3854	0.4566683964711988	7.83	11.46	Constitutive
31267	0.3516167205040458	8.23	10.09	Constitutive
1178	0.4694397283531409	7.14	9.84	Constitutive
843	0.465005931198102	7.96	8.57	Constitutive
173	0.630057803468208	8.41	8.97	Constitutive
14009	0.3571989435362981	8.08	7.82	Constitutive
642	0.5046728971962616	2.53	8.09	Constitutive
1363	0.29126925898752754	10.07	9.06	Constitutive
8860	0.4211060948081264	10.12	9.94	Constitutive
1099	0.41856232939035487	10.1	9.54	Constitutive
2487	0.4809006835544833	8.99	6.16	Constitutive
36635	0.38695236795414223	10.57	9.19	Constitutive
1820	0.567032967032967	2.53	6.96	Constitutive
2795	0.5016100178890877	9.13	8.86	Constitutive
7632	0.3710691823899371	11.08	10.76	Constitutive
2723	0.49320602276900477	7.76	11.7	Constitutive
162	0.5246913580246914	7.09	9.0	Constitutive
954	0.36163522012578614	9.6	12.64	Constitutive
4126	0.3131362094037809	10.86	4.91	Constitutive
115	0.4608695652173913	10.08	9.39	Constitutive
1234	0.3703403565640194	10.57	7.77	Constitutive
1423	0.48278285312719604	10.67	8.85	Constitutive
252	0.5912698412698413	9.09	5.89	Constitutive
2320	0.328448275862069	10.57	4.34	Constitutive
2634	0.4176157934700076	9.82	7.88	Constitutive
830	0.3060240963855422	7.43	8.52	Constitutive
12133	0.5264155608670568	7.93	11.7	Constitutive
51742	0.43104247999690776	8.04	13.03	Constitutive
184	0.6793478260869565	9.65	10.04	Constitutive
6827	0.4729749523949026	11.08	6.29	Constitutive
112	0.35714285714285715	5.91	6.72	Constitutive
1112	0.41906474820143885	10.77	8.38	Constitutive
100	0.25	3.38	6.39	Constitutive
115	0.6869565217391305	6.3	3.25	Constitutive
1474	0.38263229308005425	7.08	8.0	Constitutive
860	0.3244186046511628	5.85	3.81	Constitutive
92	0.7391304347826086	9.46	9.78	Constitutive
4446	0.36774628879892035	10.86	9.13	Constitutive
1804	0.37250554323725055	8.59	6.2	Constitutive
7250	0.38979310344827584	9.65	6.27	Constitutive
9963	0.4321991368061829	9.82	9.02	Constitutive
97	0.6494845360824743	9.99	5.05	Constitutive
291	0.5360824742268041	5.85	11.26	Constitutive
81	0.6790123456790124	6.34	9.94	Constitutive
1442	0.46879334257975036	9.79	8.39	Constitutive
9518	0.3230720739651187	9.07	7.73	Constitutive
853	0.4126611957796014	8.46	11.84	Constitutive
104218	0.40674355677522117	7.83	9.98	Constitutive
896	0.5770089285714286	8.63	7.23	Constitutive
5269	0.31410134750427027	2.31	7.63	Constitutive
1930	0.44248704663212435	8.41	2.0	Constitutive
2091	0.46245815399330464	10.1	13.3	Constitutive
1365	0.46593406593406594	8.92	12.3	Constitutive
2202	0.3801089918256131	10.1	11.05	Constitutive
1255	0.3848605577689243	8.37	12.62	Constitutive
1825	0.3254794520547945	7.93	7.7	Constitutive
2648	0.33534743202416917	7.64	6.63	Constitutive
3036	0.46080368906455865	8.68	3.34	Constitutive
2398	0.35696413678065053	9.06	10.35	Constitutive
6074	0.4967072769180112	7.52	0.03	Constitutive
1406	0.5199146514935988	8.85	6.42	Constitutive
980	0.5051020408163265	10.24	11.08	Constitutive
767	0.28683181225554105	8.62	9.8	Constitutive
1031	0.36954413191076624	9.65	7.46	Constitutive
3258	0.45119705340699817	8.35	6.75	Constitutive
891	0.5196408529741863	9.99	7.93	Constitutive
501	0.5189620758483033	9.09	8.52	Constitutive
3257	0.553269880257906	7.8	12.39	Constitutive
1159	0.40638481449525454	7.3	8.33	Constitutive
2215	0.4781038374717833	7.93	11.32	Constitutive
120	0.5333333333333333	10.03	8.1	Constitutive
2119	0.3586597451628126	10.13	10.74	Constitutive
4923	0.4198659354052407	10.47	9.6	Constitutive
842	0.5	10.36	9.15	Constitutive
3553	0.41683084717140445	7.15	3.0	Constitutive
109	0.6697247706422018	4.44	9.26	Constitutive
3960	0.49343434343434345	10.03	5.92	Constitutive
4549	0.36095845240712243	8.88	5.18	Constitutive
26165	0.44016816357729793	11.08	10.48	Constitutive
158	0.4240506329113924	10.47	11.08	Constitutive
