class,intron_length,GC_intron,PPT_density,T_block_length,SRSF3_count,SRSF3_density,PCBP2_count,PCBP2_density,CpG_count,CpG_density
1,678,0.5825958702064897,0.5333333333333333,4,3,4.424778761061947,13,19.1740412979351,16,23.59882005899705
1,1765,0.4237960339943343,0.5333333333333333,6,7,3.96600566572238,9,5.09915014164306,61,34.56090651558074
1,460,0.6086956521739131,0.6666666666666666,5,4,8.695652173913043,10,21.73913043478261,17,36.95652173913043
1,1855,0.3433962264150943,0.3333333333333333,10,9,4.8517520215633425,11,5.929919137466308,16,8.625336927223719
1,835,0.5017964071856288,0.6,3,3,3.5928143712574854,8,9.580838323353294,9,10.778443113772456
1,1077,0.5236768802228412,0.4666666666666667,3,3,2.785515320334262,16,14.856081708449397,12,11.142061281337048
1,2182,0.3771769019248396,0.4,7,14,6.416131989000917,17,7.791017415215399,14,6.416131989000917
1,360,0.5861111111111111,0.3333333333333333,3,1,2.7777777777777777,3,8.333333333333334,4,11.11111111111111
1,389,0.5758354755784062,0.5333333333333333,4,4,10.282776349614396,9,23.13624678663239,8,20.565552699228792
1,759,0.5335968379446641,0.4666666666666667,4,8,10.540184453227932,16,21.080368906455863,7,9.22266139657444
1,278,0.4892086330935252,0.26666666666666666,5,4,14.388489208633093,5,17.985611510791365,2,7.1942446043165464
1,1020,0.5186274509803922,0.5333333333333333,4,9,8.823529411764707,21,20.588235294117645,15,14.705882352941176
1,1020,0.5186274509803922,0.5333333333333333,4,9,8.823529411764707,21,20.588235294117645,15,14.705882352941176
1,673,0.5200594353640416,0.4666666666666667,3,5,7.429420505200594,32,47.5482912332838,7,10.40118870728083
1,572,0.5524475524475524,0.2,4,4,6.993006993006993,6,10.48951048951049,11,19.230769230769234
1,525,0.580952380952381,0.5333333333333333,3,5,9.523809523809524,13,24.76190476190476,15,28.57142857142857
1,513,0.47173489278752434,0.5333333333333333,4,3,5.847953216374269,12,23.391812865497077,4,7.797270955165692
1,576,0.5711805555555556,0.26666666666666666,4,1,1.7361111111111112,14,24.305555555555557,8,13.88888888888889
1,433,0.3510392609699769,0.26666666666666666,5,4,9.237875288683602,4,9.237875288683602,1,2.3094688221709005
1,473,0.5348837209302325,0.4,5,6,12.684989429175475,11,23.255813953488374,11,23.255813953488374
1,487,0.5605749486652978,0.2,4,5,10.26694045174538,7,14.373716632443532,8,16.42710472279261
1,487,0.5605749486652978,0.2,4,5,10.26694045174538,7,14.373716632443532,8,16.42710472279261
1,483,0.556935817805383,0.4666666666666667,4,1,2.070393374741201,9,18.633540372670808,11,22.77432712215321
1,679,0.5169366715758469,0.2,4,7,10.309278350515463,8,11.7820324005891,22,32.40058910162003
