Species	TaxaID	Genome database	Genome assembly	Genome URL	ProteomeID	Source
Glycine max	3847	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/515/GCA_000004515.4_Glycine_max_v2.1/GCA_000004515.4_Glycine_max_v2.1_genomic.fna.gz	UP000008827_3847	Uniprot
Goniomonas pacifica	195067	Transcriptome	MMETSP	https://figshare.com/articles/dataset/Marine_Microbial_Eukaryotic_Transcriptome_Sequencing_Project_re-assemblies/3840153	EP00295	EukProt
Gonium pectorale	33097	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/584/585/GCA_001584585.1_ASM158458v1/GCA_001584585.1_ASM158458v1_genomic.fna.gz	UP000075714_33097	Uniprot
Gregarina niphandrodes	110365	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/845/GCA_000223845.4_GNI3/GCA_000223845.4_GNI3_genomic.fna.gz	UP000019763_110365	Uniprot
Guillardia theta CCMP2712	905079	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/315/625/GCA_000315625.1_Guith1/GCA_000315625.1_Guith1_genomic.fna.gz	UP000011087_905079	Uniprot
Hemiselmis andersenii	464988	Transcriptome	MMETSP	https://figshare.com/articles/dataset/Marine_Microbial_Eukaryotic_Transcriptome_Sequencing_Project_re-assemblies/3840153	EP00282	EukProt
Heterostelium album PN500	670386	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/825/GCA_000004825.1_PolPal_Dec2009/GCA_000004825.1_PolPal_Dec2009_genomic.fna.gz	UP000001396_670386	Uniprot
Homo sapiens	9606	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.28_GRCh38.p13/GCA_000001405.28_GRCh38.p13_genomic.fna.gz	UP000005640_9606	Uniprot
Hondaea fermentalgiana	2315210	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/897/355/GCA_002897355.1_Aurantiochytrium_FCC1311_v1/GCA_002897355.1_Aurantiochytrium_FCC1311_v1_genomic.fna.gz	UP000241890_2315210	Uniprot
Hyaloperonospora arabidopsidis Emoy2	559515	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/173/235/GCA_000173235.2_HyaAraEmoy2_2.0/GCA_000173235.2_HyaAraEmoy2_2.0_genomic.fna.gz	UP000011713_559515	Uniprot
