cluster	type	pvalue	present_median	present_average	present_consistency	absent_median	absent_average	absent_consistency	pbc
I14_OG000662	not significant	0.77947	1	1.0	1.0	1.0	0.9375	0.9375	0.1626
I14_OG000663	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000664	not significant	0.67362	1	0.8181818181818182	0.8181818181818181	1.0	0.625	0.625	0.2079
I14_OG000665	not significant	0.79523	1	1.0	1.0	1.0	0.96875	1.0	0.1626
I14_OG000666	not significant	0.23987	0.0	0.36363636363636365	0.4545454545454546	0.0	0.15625	0.25	0.2758
I14_OG000667	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000668	not significant	0.97128	1	0.7272727272727273	0.7272727272727273	1.0	0.75	0.75	-0.0255
I14_OG000669	not significant	0.37939	1	1.0	1.0	1.0	0.8125	0.8125	0.2932
I14_OG000670	not significant	0.60328	1.0	0.7272727272727273	0.7272727272727273	0.5	0.5	0.5	0.2273
I14_OG000671	not significant	0.14714	1	0.7272727272727273	0.7272727272727273	0.0	0.375	0.375	0.3464
I14_OG000675	not significant	0.94232	1	0.7272727272727273	0.7272727272727273	1.0	0.75	0.75	-0.0255
I14_OG000676	not significant	0.0172	1	0.7727272727272727	0.8181818181818181	0.0	0.3125	0.3125	0.4609
I14_OG000678	present_enriched	0.00072	1	0.9545454545454546	1.0	0.25	0.46875	0.5	0.5289
I14_OG000679	not significant	0.72582	0	0.2727272727272727	0.2727272727272727	0.0	0.125	0.125	0.1869
I14_OG000682	present_enriched	0.00308	1	0.5909090909090909	0.6363636363636364	0.0	0.1875	0.1875	0.4238
I14_OG000685	not significant	0.39144	1	1.0	1.0	1.0	0.8125	0.8125	0.2932
I14_OG000686	not significant	0.02746	1.0	0.8181818181818182	0.8181818181818181	0.0	0.375	0.375	0.4382
I14_OG000687	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000689	not significant	0.84436	1.0	0.9090909090909091	0.9090909090909091	1.0	0.8125	0.8125	0.1336
I14_OG000692	not significant	0.7907	1	1.0	1.0	1.0	0.9375	0.9375	0.1626
I14_OG000693	not significant	0.39135	1	1.0	1.0	1.0	0.8125	0.8125	0.2932
I14_OG000696	not significant	0.05233	1	1.0	1.0	1.0	0.6875	0.6875	0.3953
I14_OG000697	not significant	0.78212	1	1.0	1.0	1.0	0.9375	0.9375	0.1626
I14_OG000699	not significant	0.03857	1	1.0	1.0	1.0	0.65625	0.6875	0.4319
I14_OG000700	not significant	0.96406	0.5	0.5	0.5454545454545454	0.25	0.46875	0.5	0.0319
I14_OG000701	not significant	0.94944	1	0.9090909090909091	0.9090909090909091	1.0	0.875	0.875	0.0533
I14_OG000702	not significant	0.83724	0	0.09090909090909091	0.09090909090909094	0.0	0.1875	0.1875	-0.1336
I14_OG000704	not significant	0.774	1	0.7727272727272727	0.8181818181818181	1.0	0.625	0.625	0.1598
I14_OG000705	not significant	0.8934	0	0.4090909090909091	0.4545454545454546	0.5	0.5	0.5	-0.0913
I14_OG000706	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000708	not significant	0.77726	1	1.0	1.0	1.0	0.96875	1.0	0.1626
